Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Adverbs and Their Functions,1,Which word in the sentence 'He is going abroad soon' is an adverb?,He,is,soon,abroad,C,'Soon' modifies the verb 'is going' by indicating when the action occurs.,1
Adverbs and Their Functions,2,"True or False: In 'I’ve done very well,' 'very' is an adverb.",TRUE,FALSE,Not an adverb,Uncertain,A,"'Very' modifies the adverb 'well,' intensifying its meaning.",1
Adverbs and Their Functions,3,Which sentence contains an adverb modifying a verb?,She sings loudly.,She sings a song.,She is singing.,She sang yesterday.,A,"'Loudly' modifies the verb 'sings,' describing how the action is performed.",1
Adverbs and Their Functions,4,Identify the adverb that modifies an adjective in: 'The boy is very smart.',boy,is,very,smart,C,"'Very' modifies the adjective 'smart,' intensifying its meaning.",2
Adverbs and Their Functions,5,Which word is an adverb modifying another adverb in: 'He runs quite fast.'?,He,runs,quite,fast,C,"'Quite' modifies the adverb 'fast,' indicating the degree of the action.",2
Adverbs and Their Functions,6,Choose the correct sentence with an adverb modifying a verb:,He writes carefully.,He writes a letter.,He is writing.,He wrote yesterday.,A,"'Carefully' modifies the verb 'writes,' describing the manner.",2
Adverbs and Their Functions,7,Which sentence has an adverb modifying a preposition?,I can’t go there just.,I can’t go there just because.,I can’t go there.,I can’t go.,B,"'Just' modifies the preposition 'because,' indicating the reason.",3
Adverbs and Their Functions,8,"True or False: 'Fortunately' in 'Fortunately, he survived' is an adverb.",TRUE,FALSE,Not an adverb,Uncertain,A,"'Fortunately' modifies the entire sentence, expressing circumstance.",3
Adverbs and Their Functions,9,Identify the adverb modifying a pronoun in: 'Nearly everybody was late.',nearly,everybody,was,late,A,"'Nearly' modifies the pronoun 'everybody,' indicating extent.",3
Adverbs and Their Functions,10,Which sentence contains an adverb modifying a conjunction?,He came because he wanted.,He came here simply because.,He came here.,He came.,B,"'Simply' modifies the conjunction 'because,' emphasizing the reason.",4
Adverbs and Their Functions,11,Choose the correct sentence with an adverb modifying a verb:,She dances gracefully.,She dances every day.,She is dancing.,She danced yesterday.,A,"'Gracefully' modifies the verb 'dances,' describing the manner.",4
Adverbs and Their Functions,12,Identify the adverb that modifies an adjective in: 'The task is extremely difficult.',task,is,extremely,difficult,C,"'Extremely' modifies the adjective 'difficult,' intensifying its meaning.",4
Adverbs and Their Functions,13,Which sentence has an adverb modifying an entire sentence?,"Sadly, it rained.",It rained heavily.,It rained yesterday.,It will rain.,A,"'Sadly' modifies the entire sentence, expressing emotion.",5
Adverbs and Their Functions,14,True or False: 'Badly' in 'I have done badly' is an adverb.,TRUE,FALSE,Not an adverb,Uncertain,A,"'Badly' modifies the verb 'have done,' describing the manner.",5
Adverbs and Their Functions,15,Which word is an adverb modifying another adverb in: 'She speaks too quickly.'?,She,speaks,too,quickly,C,"'Too' modifies the adverb 'quickly,' indicating excess.",5
Adverbs and Their Functions,16,Choose the correct sentence with an adverb modifying a verb:,He waits patiently.,He waits for hours.,He is waiting.,He waited yesterday.,A,"'Patiently' modifies the verb 'waits,' describing the manner.",6
Adverbs and Their Functions,17,Identify the adverb modifying a preposition in: 'I stayed home just after.',I,stayed,just,after,C,"'Just' modifies the preposition 'after,' indicating time.",6
Adverbs and Their Functions,18,Which sentence contains an adverb modifying a pronoun?,Almost everyone left.,Everyone left quickly.,He left yesterday.,She is leaving.,A,"'Almost' modifies the pronoun 'everyone,' indicating extent.",6
Adverbs and Their Functions,19,True or False: 'Absolutely' in 'It is absolutely beyond me' is an adverb.,TRUE,FALSE,Not an adverb,Uncertain,A,"'Absolutely' modifies the preposition 'beyond,' intensifying the phrase.",7
Adverbs and Their Functions,20,Which sentence has an adverb modifying a conjunction?,He left because he was tired.,He left here simply because.,He left yesterday.,He will leave.,B,"'Simply' modifies the conjunction 'because,' emphasizing the reason.",7
Adverbs and Their Functions,21,Choose the correct sentence with an adverb modifying a verb:,She reads eagerly.,She reads a book.,She is reading.,She read yesterday.,A,"'Eagerly' modifies the verb 'reads,' describing the manner.",7
Adverbs and Their Functions,22,Identify the adverb that modifies an adjective in: 'The day is quite sunny.',day,is,quite,sunny,C,"'Quite' modifies the adjective 'sunny,' indicating degree.",8
Adverbs and Their Functions,23,Which sentence contains an adverb modifying an entire sentence?,"Luckily, we won.",We won easily.,We won yesterday.,We will win.,A,"'Luckily' modifies the entire sentence, expressing good fortune.",8
Adverbs and Their Functions,24,True or False: 'Well' in 'The grapes were well within reach' is an adverb.,TRUE,FALSE,Not an adverb,Uncertain,A,"'Well' modifies the preposition 'within,' indicating extent.",8
Adverbs and Their Functions,25,Which word is an adverb modifying another adverb in: 'He runs very slowly.'?,He,runs,very,slowly,C,"'Very' modifies the adverb 'slowly,' indicating intensity.",9
Adverbs and Their Functions,26,Choose the correct sentence with an adverb modifying a verb:,He works diligently.,He works every day.,He is working.,He worked yesterday.,A,"'Diligently' modifies the verb 'works,' describing the manner.",9
Adverbs and Their Functions,27,Identify the adverb modifying a preposition in: 'She arrived just before noon.',She,arrived,just,before,C,"'Just' modifies the preposition 'before,' indicating time.",9
Adverbs and Their Functions,28,Which sentence contains an adverb modifying a pronoun?,Nearly all agreed.,All agreed quickly.,He agreed yesterday.,She will agree.,A,"'Nearly' modifies the pronoun 'all,' indicating extent.",10
Adverbs and Their Functions,29,"True or False: 'Unfortunately' in 'Unfortunately, he failed' is an adverb.",TRUE,FALSE,Not an adverb,Uncertain,A,"'Unfortunately' modifies the entire sentence, expressing regret.",10
Adverbs and Their Functions,30,Which sentence has an adverb modifying a conjunction?,He stayed because he was ill.,He stayed here only because.,He stayed yesterday.,He will stay.,B,"'Only' modifies the conjunction 'because,' emphasizing the reason.",10
Adverbs and Their Functions,31,Choose the correct sentence with an adverb modifying a verb:,She listens attentively.,She listens to music.,She is listening.,She listened yesterday.,A,"'Attentively' modifies the verb 'listens,' describing the manner.",4
Adverbs and Their Functions,32,Identify the adverb that modifies an adjective in: 'The room is rather dark.',room,is,rather,dark,C,"'Rather' modifies the adjective 'dark,' indicating degree.",5
Adverbs and Their Functions,33,Which sentence contains an adverb modifying an entire sentence?,"Happily, they arrived.",They arrived late.,They will arrive.,They arrived yesterday.,A,"'Happily' modifies the entire sentence, expressing emotion.",6
Adverbs and Their Functions,34,True or False: 'Quite' in 'He looked at me quite indifferently' is an adverb.,TRUE,FALSE,Not an adverb,Uncertain,A,"'Quite' modifies the adverb 'indifferently,' indicating degree.",7
Adverbs and Their Functions,35,Which word is an adverb modifying a preposition in: 'I waited just outside.'?,I,waited,just,outside,C,"'Just' modifies the preposition 'outside,' indicating position.",8
