Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Writing a CV,1,What is the main purpose of a CV?,To entertain employers,To showcase your qualifications,To share personal stories,To request favors,B,The main purpose of a CV is to showcase your qualifications to potential employers.,1
Writing a CV,2,What is the ideal length for a business CV?,Two pages,One page,Three pages,Four pages,B,A business CV should ideally be one page for conciseness.,2
Writing a CV,3,How should educational details be organized?,Alphabetically,In reverse chronological order,Chronologically,Randomly,B,Educational details should be organized in reverse chronological order.,3
Writing a CV,4,Which element should use a larger font size?,Contact details,Your name,Job objective,Address,B,Your name should use a larger font for easy identification.,4
Writing a CV,5,What should the objective section highlight?,Your salary demands,Your value to the employer,Your personal interests,Your travel goals,B,The objective should highlight your value to the employer.,5
Writing a CV,6,Which section details language proficiency levels?,Work Experience,Language Skills,Education,References,B,Language Skills details proficiency levels like average or excellent.,6
Writing a CV,7,What type of experience should be included?,All past jobs,Only relevant experience,Personal hobbies,Vacation activities,B,Only relevant experience should be included for the job.,7
Writing a CV,8,What paper color is recommended for a CV?,Red,White,Green,Blue,B,White paper is recommended for a professional CV look.,8
Writing a CV,9,What must accompany a CV submission?,A photograph,A cover letter,A certificate,A reference,B,A cover letter must accompany a CV for job applications.,9
Writing a CV,10,Which is a typical computer skill to list?,Cooking,Microsoft Word,Gardening,Painting,B,Microsoft Word is a typical computer skill for a CV.,10
Writing a CV,11,What award can strengthen a CV?,Best cook award,Best student award,Best driver award,Best singer award,B,A best student award strengthens a CV’s academic profile.,6
Writing a CV,12,How can personal details conserve space?,Use a larger font,Use a smaller font,Use bold text,Use italics,B,Personal details can use a smaller font to conserve space.,7
Writing a CV,13,What is the fill-in-the-blank for 'To ___ a career in education'?,Start,Pursue,Develop,Build,C,"'Develop' fits, as in 'To develop a career in education.'",8
Writing a CV,14,Which section demonstrates leadership?,Hobbies,Work Experience,Language Skills,References,B,Work Experience can demonstrate leadership qualities.,9
Writing a CV,15,Who is a suitable reference for a CV?,A close friend,A former teacher,A neighbor,A classmate,B,A former teacher is a suitable and credible reference.,10
Writing a CV,16,What does the Hobbies section suggest?,Work dedication,A balanced personality,Academic success,Job skills,B,The Hobbies section suggests a balanced personality.,6
Writing a CV,17,Which detail can be omitted if space is tight?,Contact information,Education details,Hobbies,Work experience,C,Hobbies can be omitted if space on the CV is tight.,7
Writing a CV,18,Why should a CV be tailored?,To increase length,To match the job requirements,To include all jobs,To use generic content,B,A CV should be tailored to match specific job requirements.,8
Writing a CV,19,Which award is relevant for a CV?,Best poetry award,Best cook award,Best driver award,Best gardener award,A,A best poetry award is relevant for creative or academic CVs.,9
Writing a CV,20,What font size is advised for personal details?,Larger than text,Smaller than text,Bold only,Italic only,B,Personal details can use a smaller font than the main text.,10
Writing a CV,21,What academic detail is important?,Class rankings,Favorite teacher,School location,Class schedule,A,Class rankings or grades are important academic details.,6
Writing a CV,22,Which section lists software expertise?,Education,Computer Skills,Work Experience,References,B,Computer Skills lists expertise in software like MS-Excel.,7
Writing a CV,23,What is the role of a references section?,To list personal contacts,To provide recommenders,To show hobbies,To detail education,B,The references section provides contacts for recommendation.,8
Writing a CV,24,What is the standard paper size for a CV?,A5,A4,A3,Letter,B,The standard paper size for a CV is A4.,9
Writing a CV,25,What reflects a candidate’s innovation?,Relevant experience,Personal address,Hobby list,Language skills,A,Relevant experience can reflect a candidate's innovation.,10
Writing a CV,26,What should a CV prioritize?,Irrelevant details,Most significant information,Personal photos,Travel history,B,A CV should prioritize the most significant information.,6
Writing a CV,27,Which address is optional if the same?,Permanent address,Mailing address,Contact address,Email address,A,Permanent address is optional if it matches the mailing address.,7
Writing a CV,28,What is a common objective statement?,To earn a high salary,To secure a position in sales,To enjoy work,To take a break,B,'To secure a position in sales' is a common objective.,8
