Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Techniques for Describing Graphs,1,What is a key technique when describing graphs?,Copying the question paper,Using your own words,Repeating the same phrases,Including minor details,B,"Using your own words ensures a proper description, as per the chapter.",1
Techniques for Describing Graphs,2,What should you do to avoid using the same wording as the graph's title?,Copy the title directly,Paraphrase the information,Repeat the title,Omit the title,B,Paraphrasing avoids repetition and ensures originality.,2
Techniques for Describing Graphs,3,What should you emphasize in a graph description?,All data points,Main trends or patterns,Minor fluctuations,Exact figures only,B,Emphasizing main trends or patterns provides a clear overview.,3
Techniques for Describing Graphs,4,How should you describe predicted data in graphs?,Copy exact figures,Use 'expected to' for projections,Include all details,Repeat the question,B,"'Expected to' is used to describe predicted data, e.g., expected to rise.",4
Techniques for Describing Graphs,5,You're describing a graph. How should you vary your language?,Repeat the same words,Use different sentence structures,Copy the question paper,Focus on minor details,B,Varying sentence structures enhances the description.,5
Techniques for Describing Graphs,6,Which expression emphasizes a large difference in graph data?,Slightly,Nearly as,Significantly,As much as,C,"'Significantly' emphasizes a large difference, e.g., significantly higher.",6
Techniques for Describing Graphs,7,What is a key strategy to make a graph description clear?,Use repetitive phrases,Provide a general overview,Include all data points,Copy the question,B,Providing a general overview clarifies main trends.,7
Techniques for Describing Graphs,8,You're describing a graph with future projections. Which phrase is best?,It doubled previously,It is expected to double,It remains constant,It fluctuates,B,'It is expected to double' is suitable for future projections.,8
Techniques for Describing Graphs,9,How should you describe a small difference in graph data?,Use 'much more',Use 'significantly',Use 'slightly',Use 'far',C,"'Slightly' is used for small differences, e.g., slightly higher.",9
Techniques for Describing Graphs,10,What is a challenge in describing graphs accurately?,Using the same phrases,Varying sentence structures,Ensuring figures are correct,Copying the question paper,C,Ensuring figures are correct is a key challenge.,10
Techniques for Describing Graphs,11,What should you avoid when describing graphs?,Using your own words,Paraphrasing information,Copying the question paper,Describing main trends,C,Copying the question paper is not allowed.,1
Techniques for Describing Graphs,12,What is a key step to ensure clarity in graph descriptions?,Repeat the question wording,Summarize main patterns,Include all details,Use identical phrases,B,Summarizing main patterns ensures clarity.,2
Techniques for Describing Graphs,13,What is the purpose of describing main trends in graphs?,To list all data,To provide a clear overview,To include minor details,To repeat the question,B,Describing main trends provides a clear overview.,3
Techniques for Describing Graphs,14,Which phrase is suitable for predicted graph data?,It was predicted,It has predicted,It is expected to,It predicts,C,'It is expected to' is used for predicted data.,4
Techniques for Describing Graphs,15,You're describing a graph. How should you avoid repetition?,Use the same words,Vary sentence structures,Copy the question,Focus on minor details,B,Varying sentence structures avoids repetition.,5
Techniques for Describing Graphs,16,Which expression highlights a significant difference in data?,Nearly as,Slightly,Much,As much as,C,"'Much' highlights a significant difference, e.g., much higher.",6
Techniques for Describing Graphs,17,How should you structure a graph description for clarity?,List all data points,Start with an overview,Repeat question phrasing,Focus on minor details,B,Starting with an overview clarifies the main trends.,7
Techniques for Describing Graphs,18,You're describing a graph with a predicted increase. Which is correct?,It remained stable,It is expected to increase,It fluctuated,It decreased,B,'It is expected to increase' is correct for predicted trends.,8
Techniques for Describing Graphs,19,How should you describe a minor difference in graph data?,Use 'far',Use 'nearly as',Use 'significantly',Use 'much',B,"'Nearly as' describes a minor difference, e.g., nearly as high.",9
