Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Effective E-mail Writing Tips,1,What is the first step to write an effective e-mail?,Choose a colorful font,Know the purpose clearly,Add many images,Use long paragraphs,B,Knowing the purpose clearly ensures the e-mail is focused and effective.,1
Effective E-mail Writing Tips,2,What should a subject line be?,Vague and lengthy,Meaningful and concise,Decorated with symbols,Filled with jokes,B,A meaningful and concise subject line clearly states the e-mail's reason.,2
Effective E-mail Writing Tips,3,Why is sender identity important?,To hide personal details,To ensure recognition by the receiver,To use a nickname,To avoid contact,B,A recognizable sender identity prevents e-mails from being ignored.,3
Effective E-mail Writing Tips,4,What is a key feature of an effective e-mail?,Long sentences,Conciseness,Complex vocabulary,Bright colors,B,Conciseness helps the receiver quickly understand the e-mail's content.,4
Effective E-mail Writing Tips,5,What voice is preferred in e-mail writing?,Passive voice,Active voice,Indirect voice,Narrative voice,B,"Active voice, like 'We are sending,' makes e-mails clearer.",5
Effective E-mail Writing Tips,6,What improves e-mail readability?,Poor grammar,Simple formatting,All capital letters,Inappropriate fonts,B,Simple formatting ensures the e-mail is easy to read.,6
Effective E-mail Writing Tips,7,Why might an e-mail be bypassed?,Clear subject line,Uninteresting subject,Concise content,Proper identity,B,An uninteresting subject can lead to the e-mail being bypassed.,7
Effective E-mail Writing Tips,8,What should be checked before sending an e-mail?,Spelling and grammar,Bright colors,Image quality,Font size,A,Checking spelling and grammar ensures a professional e-mail.,8
Effective E-mail Writing Tips,9,What avoids e-mails being deleted?,Following key tips,Using slang,Long paragraphs,Unclear purpose,A,Following key tips prevents e-mails from being deleted or ignored.,9
Effective E-mail Writing Tips,10,What keeps the receiver engaged?,Irrelevant details,Relevant content,Complex design,Unnecessary words,B,Relevant content keeps the receiver engaged until the end.,10
Effective E-mail Writing Tips,11,What helps clarify the e-mail's intent?,Colorful text,Clear purpose,Long introductions,Multiple topics,B,A clear purpose helps the receiver understand the intent quickly.,6
Effective E-mail Writing Tips,12,What should a subject line avoid?,Being too long,Being specific,Using keywords,Being clear,A,A subject line should avoid being too long to maintain interest.,7
Effective E-mail Writing Tips,13,What is the fill-in-the-blank for 'Use a ___ subject line'?,Colorful,Meaningful,Decorated,Funny,B,"'Meaningful' fits, as a subject line should be meaningful and clear.",8
Effective E-mail Writing Tips,14,What enhances sender credibility?,Using initials,Full name as sender,Nicknames,Anonymous ID,B,Using a full name enhances sender credibility and recognition.,9
Effective E-mail Writing Tips,15,What makes an e-mail professional?,Simple formatting,Bright colors,All caps,Poor spelling,A,Simple formatting contributes to a professional e-mail appearance.,10
Effective E-mail Writing Tips,16,What should follow a brief greeting?,Unrelated topics,Main points,Long stories,Personal photos,B,Main points should follow a brief greeting for clarity.,6
Effective E-mail Writing Tips,17,What avoids confusion in replies?,Ignoring questions,Answering questions,Adding jokes,Using slang,B,Answering questions in replies avoids confusion.,7
Effective E-mail Writing Tips,18,What is a benefit of short paragraphs?,Increases length,Improves readability,Adds complexity,Hides content,B,Short paragraphs improve readability for the receiver.,8
Effective E-mail Writing Tips,19,What should be minimized in e-mails?,Unnecessary words,Key points,Clear sentences,Active voice,A,Minimizing unnecessary words keeps e-mails concise.,9
Effective E-mail Writing Tips,20,What prevents readability issues?,Proper grammar,Bright colors,All capitals,Fancy fonts,A,Proper grammar prevents readability issues in e-mails.,10
Effective E-mail Writing Tips,21,What ensures the e-mail is noticed?,Unclear subject,Recognizable sender,Long paragraphs,Poor formatting,B,A recognizable sender ensures the e-mail is noticed.,6
Effective E-mail Writing Tips,22,What should be avoided in formatting?,Simple layout,Inappropriate fonts,Short sentences,Clear text,B,Inappropriate fonts should be avoided for readability.,7
Effective E-mail Writing Tips,23,What is the fill-in-the-blank for 'Write in ___ voice'?,Passive,Active,Indirect,Narrative,B,"'Active' fits, as active voice is preferred in e-mails.",8
Effective E-mail Writing Tips,24,What keeps the content focused?,Multiple topics,Clear purpose,Long details,Unrelated points,B,A clear purpose keeps the e-mail content focused.,9
