Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
"Linking, Transitive, and Intransitive Verbs",1,Which verb in the sentence 'She is happy' is a linking verb?,is,happy,she,none,A,"'Is' connects the subject 'She' to the adjective 'happy', functioning as a linking verb.",1
"Linking, Transitive, and Intransitive Verbs",2,Identify the transitive verb in: 'He wrote a letter.',wrote,he,a,letter,A,"'Wrote' is followed by the object 'a letter', making it a transitive verb.",1
"Linking, Transitive, and Intransitive Verbs",3,Which verb is intransitive in: 'The dog runs quickly.'?,runs,dog,quickly,the,A,"'Runs' does not take an object and is followed by an adverbial, making it intransitive.",2
"Linking, Transitive, and Intransitive Verbs",4,"In 'The food tastes delicious,' what type of verb is 'tastes'?",Linking,Transitive,Intransitive,Modal,A,"'Tastes' connects the subject 'food' to the adjective 'delicious', functioning as a linking verb.",2
"Linking, Transitive, and Intransitive Verbs",5,Which sentence contains a transitive verb?,She is tired.,He reads books.,They laughed loudly.,It seems easy.,B,"'Reads' is followed by the object 'books', making it a transitive verb.",3
"Linking, Transitive, and Intransitive Verbs",6,Identify the linking verb in: 'The man has gone mad.',has,gone,mad,man,C,'Gone' links the subject 'man' to the adjective 'mad'.,3
"Linking, Transitive, and Intransitive Verbs",7,Which verb is intransitive in: 'The baby is sleeping.'?,is,sleeping,baby,the,B,"'Sleeping' does not take an object, making it an intransitive verb.",4
"Linking, Transitive, and Intransitive Verbs",8,"In 'He drives very carefully,' what type of verb is 'drives'?",Linking,Transitive,Intransitive,Helping,C,"'Drives' is followed by an adverbial and lacks an object, making it intransitive.",4
"Linking, Transitive, and Intransitive Verbs",9,Which sentence uses 'run' as a transitive verb?,He ran home.,The river runs dry.,I ran a race.,She runs quickly.,C,"'Ran' is followed by the object 'a race', making it transitive.",5
"Linking, Transitive, and Intransitive Verbs",10,Classify the verb 'appears' in: 'She appears confident.',Linking,Transitive,Intransitive,Modal,A,'Appears' links the subject 'She' to the adjective 'confident'.,5
"Linking, Transitive, and Intransitive Verbs",11,Which verb is transitive in: 'Who has broken the cup?'?,has,broken,who,cup,B,'Broken' is followed by the object 'the cup'.,6
"Linking, Transitive, and Intransitive Verbs",12,"In 'They laughed at the joke,' what type of verb is 'laughed'?",Linking,Transitive,Intransitive,Helping,C,'Laughed' is intransitive as it does not take a direct object; 'at the joke' is a prepositional phrase.,6
"Linking, Transitive, and Intransitive Verbs",13,Which sentence contains a linking verb?,He bought a car.,She looks beautiful.,They danced gracefully.,I wrote a story.,B,'Looks' connects the subject 'She' to the adjective 'beautiful'.,7
"Linking, Transitive, and Intransitive Verbs",14,Identify the intransitive verb in: 'The boys are playing in the field.',are,playing,boys,field,B,'Playing' does not take an object and is intransitive.,7
"Linking, Transitive, and Intransitive Verbs",15,Which verb is used as a linking verb in: 'The river runs dry in summer.'?,runs,dry,summer,river,A,'Runs' links the subject 'river' to the adjective 'dry'.,8
