Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Informal Letters,1,In which setting does informal communication typically occur?,Business meetings,Intimate circles like friends and family,Official ceremonies,Court proceedings,B,"Informal communication occurs among friends and family, as noted in the document.",1
Informal Letters,2,Which feature is common in informal writing?,Use of contractions like 'I am',Formal salutations,Complex vocabulary,Legal jargon,A,"Contractions like 'I'm' are a feature of informal writing, as per the document.",2
Informal Letters,3,What is an example of an idiomatic expression in informal letters?,It is raining,It's raining cats and dogs,The weather is wet,Precipitation occurs,B,'It's raining cats and dogs' is an idiomatic expression used in informal contexts.,3
Informal Letters,4,Which punctuation mark is often used for emphasis in informal letters?,Colon,Exclamation mark,Semicolon,Period,B,"Exclamation marks, as in 'HORRIBLE', emphasize emotions in informal letters.",4
Informal Letters,5,Who is the recipient of the informal letter from Rupom?,A teacher,Shuvro,The manager,A colleague,B,"The letter is addressed to 'Dear Shuvro', indicating a friend or family member.",5
Informal Letters,6,What indicates a conversational tone in Rupom's letter?,Use of formal phrases,"Repetition like 'really, really'",Complex sentences,Official language,B,"Repetition like 'really, really good' adds a conversational tone.",6
Informal Letters,7,Which phrase shows affection in an informal letter?,With lots of love,Yours sincerely,Respectfully yours,Best regards,A,'With lots of love' is an affectionate closing in informal letters.,7
Informal Letters,8,What makes Sumi's letter to Stella informal?,Use of formal address,Conversational tone and slang,Official request,Business terms,B,"The casual tone and phrases like 'really, really friendly' make it informal.",8
Informal Letters,9,Which word is a slang in Sumi's letter?,Marvelous,Really,Boring,Friendly,C,'Boring' in 'too much of rain can really be boring' acts as informal slang.,9
Informal Letters,10,How does Sumi apologize in her letter?,I regret to inform,Sorry this letter is short,Please excuse me,I apologize formally,B,'Sorry this letter is short' is an informal apology.,10
Informal Letters,11,What is a common contraction in informal letters?,I have,I've,I am not,Do not,B,"'I've' is a common contraction, as seen in 'I've been here a week.'",6
Informal Letters,12,Which feature avoids slang with respected relatives?,Use of idioms,Highly emotional words,Formal vocabulary,Conversational tone,C,The document advises against slang with respected relatives like parents.,7
Informal Letters,13,What is the date format in Rupom's letter?,15-Jan-17,12/6/2016,10-Nov-16,5-Dec-15,B,'12/06/16' is the informal date format used by Rupom.,8
Informal Letters,14,Which phrase shows urgency in an informal letter?,I would appreciate,Please send soon,It took twelve hours,I need it now,C,'It took twelve hours' implies urgency in the journey context.,9
Informal Letters,15,What closes an informal letter to a friend?,Yours obediently,With lots of love,Yours sincerely,Respectfully,B,"'With lots of love' is a typical informal closing, as in Rupom's letter.",10
Informal Letters,16,Which sentence is typical in informal letters?,I am writing to inform you,It's great to hear from you,Please find attached,We request your presence,B,'It's great to hear from you' reflects an informal tone.,6
Informal Letters,17,What indicates repetition in informal style?,"Really, really good",The journey was long,We stayed home,She smiled brightly,A,"'Really, really good' uses repetition for emphasis, a feature of informal style.",7
Informal Letters,18,Which letter lacks a formal address?,Rupom to Shuvro,Shuvro to Father,Moinur to Manager,Ahmed to Manager,A,"Rupom's letter lacks a formal address, typical of informal style.",8
Informal Letters,19,What is a phrasal verb in Sumi's letter?,Getting on,Is learning,Feels at home,Managed to make,A,'Getting on' is a phrasal verb used informally in 'how I was getting on.',9
Informal Letters,20,Which tone is avoided with senior relatives?,Highly emotional,Conversational,Respectful,Polite,A,Highly emotional tones and slangs are avoided with senior relatives.,10
Informal Letters,21,What is a tag question example in informal letters?,"You are coming, are not you?",Is it true?,Please stay.,What a day!,A,"'You are coming, are not you?' is a tag question, common in informal style.",6
Informal Letters,22,Which letter uses slang freely?,Shuvro to Father,Rupom to Shuvro,Moinur to Head Teacher,Ahmed to Manager,B,Rupom's letter uses slang like 'HORRIBLE' freely with a friend.,7
Informal Letters,23,What shows intimacy in Sumi's letter?,I miss you so much,Please send money,I hope you are well,Yours sincerely,A,'I miss you so much' shows intimacy in an informal letter.,8
Informal Letters,24,Which feature is absent in formal letters but present in informal?,Contractions,Objective style,Proper salutation,Formal address,A,Contractions like 'I'm' are present in informal but not formal letters.,9
Informal Letters,25,What is the purpose of Rupom's letter?,To complain,To share a travel experience,To request funds,To invite a friend,B,Rupom shares his travel and stay experience in Sylhet.,10
Formal Letters,26,Where is the writer's address placed in a formal letter?,Bottom left,Top right,Middle center,Bottom right,B,"The writer's address is placed at the top right, as in the complaint letter.",1
Formal Letters,27,What is the typical salutation in a formal letter?,Dear Friend,Dear Sir or Madam,Hi There,Hello Everyone,B,"'Dear Sir or Madam' is a standard formal salutation, as in the complaint letter.",2
Formal Letters,28,Which part states the reason for writing in a formal letter?,Subscription,Body,Salutation,Address,B,"The body states the reason, e.g., 'I am writing to complain' in the complaint letter.",3
