Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Simple Prepositions,1,Which preposition fits in the sentence: 'She lives ___ a small village.'?,in,at,on,by,A,'In' is the correct simple preposition to indicate location within a village.,1
Simple Prepositions,2,Identify the simple preposition in the sentence: 'He arrived after the meeting.'?,he,arrived,after,meeting,C,'After' is a simple preposition indicating time.,1
Simple Prepositions,3,"True or False: In the sentence 'She sat beside me,' 'beside' is a simple preposition.?",TRUE,FALSE,Not a preposition,Uncertain,A,'Beside' is a simple preposition showing position.,1
Simple Prepositions,4,Which sentence uses the preposition 'on' correctly?,The book is on the table.,The book is on the city.,The book is on the summer.,The book is on the school.,A,'On' is used correctly to show the position of the book resting on the table.,2
Simple Prepositions,5,What is the simple preposition in: 'They walked through the park.'?,walked,through,park,they,B,'Through' is a simple preposition indicating movement.,2
Simple Prepositions,6,Choose the correct sentence with the preposition 'at':,She arrived at sunrise.,She arrived at the summer.,She arrived at the book.,She arrived at the chair.,A,'At' is used for specific times like 'sunrise'.,2
Simple Prepositions,7,Which preposition completes: 'He comes ___ a big city.'?,from,in,at,by,A,'From' is used to indicate origin as in 'comes from a big city'.,3
Simple Prepositions,8,Correct the error: 'She stood before the mirror.' (If there is no error choose 'No error').,before,in front of,at,No error,A,'Before' is a correct simple preposition in this context meaning 'in front of'.,3
Simple Prepositions,9,Which preposition is appropriate: 'The meeting starts ___ Monday.'?,on,in,at,by,A,'On' is used for days of the week like 'Monday'.,3
Simple Prepositions,10,Identify the error: 'He walked through the street.' (If there is no error choose 'No error').,through,across,along,No error,A,'Through' is a correct simple preposition for movement in this context.,4
Simple Prepositions,11,Which sentence uses 'by' correctly?,He traveled by train.,He traveled by the summer.,He traveled by the book.,He traveled by the chair.,A,'By' is a simple preposition indicating means of travel.,4
Simple Prepositions,12,Fill in the blank: 'She waited ___ the bus stop.'?,at,in,on,by,A,'At' is used for specific locations like 'the bus stop'.,4
Simple Prepositions,13,True or False: 'Under' in 'The cat is under the bed' is a simple preposition.?,TRUE,FALSE,Not a preposition,Uncertain,A,'Under' is a simple preposition indicating position.,5
Simple Prepositions,14,Which preposition fits: 'The picture hangs ___ the wall.'?,on,in,at,by,A,'On' is used to indicate something attached to a surface like a wall.,5
Simple Prepositions,15,Choose the correct preposition: 'They arrived ___ the party late.'?,at,in,on,by,A,'At' is used for events like 'the party'.,5
Simple Prepositions,16,Correct the error: 'She arrived in sunrise.' (Choose the correct preposition).,in,at,on,by,B,'At' is the correct preposition for specific times like 'sunrise' not 'in'.,6
Simple Prepositions,17,Which preposition completes: 'The shop is ___ the corner.'?,at,in,on,by,A,'At' is used for specific points like 'the corner'.,6
Simple Prepositions,18,Identify the simple preposition in: 'He jumped over the fence.'?,jumped,over,fence,he,B,'Over' is a simple preposition indicating movement.,6
Simple Prepositions,19,Which sentence uses 'for' correctly?,She has been waiting for two hours.,She has been waiting for the city.,She has been waiting for the table.,She has been waiting for the book.,A,'For' is used to indicate duration like 'two hours'.,7
Simple Prepositions,20,Fill in the blank: 'The bridge is ___ the river.'?,over,above,across,all of the above,D,All options 'over' 'above' 'across' are simple prepositions that can describe the bridge’s position relative to the river.,7
Simple Prepositions,21,Choose the correct preposition: 'The kids played ___ the garden.'?,in,at,on,by,A,'In' is used for enclosed spaces like 'the garden'.,7
Simple Prepositions,22,Which preposition fits: 'He drove ___ the tunnel.'?,through,into,across,over,A,'Through' is the correct simple preposition for movement within a tunnel.,8
Simple Prepositions,23,True or False: 'Near' in 'She lives near the school' is a simple preposition.?,TRUE,FALSE,Not a preposition,Uncertain,A,'Near' is a simple preposition indicating proximity.,8
Simple Prepositions,24,Correct the error: 'They sailed to the island.' (If there is no error choose 'No error').,to,toward,across,No error,A,'To' is a correct simple preposition indicating direction in this context.,8
Simple Prepositions,25,Which preposition completes: 'He works ___ a factory.'?,in,at,on,by,A,'In' is used for places of work like 'a factory'.,9
Simple Prepositions,26,Fill in the blank: 'The dog ran ___ the yard.'?,across,through,into,all of the above,D,All options 'across' 'through' 'into' are simple prepositions that can describe the dog’s movement relative to the yard.,9
Simple Prepositions,27,Which sentence uses 'at' correctly?,She arrived at sunrise.,She arrived at the summer.,She arrived at the book.,She arrived at the chair.,A,'At' is used for specific times like 'sunrise'.,9
Simple Prepositions,28,Identify the error: 'He stood behind the door.' (If there is no error choose 'No error').,behind,at,in,No error,A,'Behind' is a correct simple preposition indicating position.,10
Simple Prepositions,29,Choose the correct preposition: 'The letter is ___ the envelope.'?,in,at,on,by,A,'In' is used for enclosed spaces like 'the envelope'.,10
Simple Prepositions,30,Which preposition fits: 'They walked ___ the hill.'?,up,down,over,all of the above,D,All options 'up' 'down' 'over' are simple prepositions that can describe movement relative to the hill.,10
Simple Prepositions,31,Fill in the blank: 'The car is parked ___ the garage.'?,in,at,on,by,A,'In' is used for enclosed spaces like 'the garage'.,1
Simple Prepositions,32,Which preposition completes: 'She wrote ___ a pen.'?,with,by,using,in,A,'With' is the correct simple preposition for the instrument used.,1
Simple Prepositions,33,Identify the simple preposition in: 'He traveled during the summer.'?,traveled,during,summer,he,B,'During' is a simple preposition indicating time.,2
Complex Prepositions,34,Which complex preposition fits: 'He succeeded ___ his hard work.'?,by means of,in spite of,with reference to,for the sake of,A,'By means of' indicates the method of success fitting the context.,2
Complex Prepositions,35,Identify the complex preposition in: 'She acted in accordance with the rules.'?,in accordance with,acted,rules,she,A,'In accordance with' is a complex preposition showing conformity.,3
Complex Prepositions,36,True or False: 'In spite of' in 'She came in spite of her illness' is a complex preposition.?,TRUE,FALSE,Not a preposition,Uncertain,A,'In spite of' is a complex preposition indicating persistence despite a condition.,3
Complex Prepositions,37,Which sentence uses 'because of' correctly?,They canceled the event because of the rain.,They canceled the event because of the table.,They canceled the event because of the summer.,They canceled the event because of the book.,A,'Because of' indicates the reason for cancellation fitting the context.,4
Complex Prepositions,38,What is the complex preposition in: 'He spoke in favor of the proposal.'?,in favor of,spoke,proposal,he,A,'In favor of' is a complex preposition indicating support.,4
Complex Prepositions,39,Choose the correct sentence with 'on behalf of':,He attended the meeting on behalf of the manager.,He attended the meeting on behalf of the summer.,He attended the meeting on behalf of the book.,He attended the meeting on behalf of the chair.,A,'On behalf of' indicates representation fitting the context.,5
Complex Prepositions,40,Which complex preposition completes: 'She prepared the report ___ the new policy.'?,with reference to,in the event of,for the sake of,by virtue of,A,'With reference to' indicates the report’s relation to the policy.,5
