Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Clauses,1,Which type of clause can stand alone as a sentence?,Subordinate clause,Independent clause,Adjective clause,Noun clause,B,"An independent clause expresses a complete thought and can stand alone, as seen in 'The sun shines.'",1
Clauses,2,Which clause cannot stand alone?,The cat purred.,When the cat purred.,She laughed.,He is running.,B,"'When the cat purred' has a subject and predicate but cannot stand alone, making it a subordinate clause.",2
Clauses,3,Which word introduces an adjective clause?,Because,That,When,Although,B,"'That' introduces an adjective clause, as in 'The book that I read is good.'",3
Clauses,4,Which clause functions as a noun?,Because he ran,That she is smart,When it rained,Where he lives,B,"'That she is smart' functions as a noun clause, often as a subject or object.",4
Clauses,5,Which word introduces an adverb clause?,Who,Since,That,Whose,B,"'Since' introduces an adverb clause, as in 'Since it rained, we stayed home.'",5
Clauses,6,Which clause modifies a noun like an adjective?,Because she left,Who won the race,When it started,Where he went,B,"'Who won the race' modifies a noun, functioning as an adjective clause.",6
Clauses,7,Which clause acts as the subject of a sentence?,That he is honest,When he arrives,Where she lives,Because it rained,A,"'That he is honest' acts as the subject, functioning as a noun clause.",7
Clauses,8,Which clause modifies a verb like an adverb?,That she won,Since he studied,Where she goes,Who is here,B,"'Since he studied' modifies a verb, functioning as an adverb clause.",8
Clauses,9,Which clause functions as a direct object?,That he is kind,When she arrives,Where he lives,Because it rained,A,"'That he is kind' functions as a direct object, as in 'I know that he is kind.'",9
Clauses,10,Which clause acts as an appositive?,That he is honest,Which is rare,When she left,Where he went,B,"'Which is rare' acts as an appositive, as in 'The book, which is rare, is valuable.'",10
Clauses,11,Which clause modifies an adverb?,That she runs,Since she runs quickly,Where she goes,Who is here,B,"'Since she runs quickly' modifies an adverb, functioning as an adverb clause.",6
Clauses,12,Which clause functions as a predicate nominative?,That he is kind,When she arrives,Where he lives,Because it rained,A,"'That he is kind' functions as a predicate nominative, as in 'The truth is that he is kind.'",7
Clauses,13,Which clause acts as an object of a preposition?,That she knows,When he arrives,Where she goes,Because it rained,A,"'That she knows' acts as an object of a preposition, as in 'I am sure of that she knows.'",8
Clauses,14,Which clause modifies a verb like an adverb?,That she won,Since he studied,Where she goes,Who is here,B,"'Since he studied' modifies a verb, functioning as an adverb clause.",9
Clauses,15,Which clause acts as an appositive?,That he is honest,Which is rare,When she left,Where he went,B,"'Which is rare' acts as an appositive, as in 'The book, which is rare, is valuable.'",10
Meaning and Types,16,Which sentence expresses a statement?,Do you like rain?,Please water the plants.,Rain is refreshing.,What a storm!,C,"'Rain is refreshing' makes a statement, classifying it as an assertive sentence.",1
Meaning and Types,17,Which sentence asks a question?,The sky is clear.,What is your favorite season?,Please sit down.,"Wow, what a view!",B,"'What is your favorite season?' asks a question, classifying it as an interrogative sentence.",2
Meaning and Types,18,Which sentence gives a command?,The room is tidy.,Please tidy the room.,Is it tidy?,What a mess!,B,"'Please tidy the room' gives a command, classifying it as an imperative sentence.",3
Meaning and Types,19,Which sentence expresses a wish?,Run fast!,May you succeed!,What a day!,Is it true?,B,"'May you succeed!' expresses a wish, classifying it as an optative sentence.",4
Meaning and Types,20,Which sentence is exclamatory?,The sky is blue.,What a beautiful sky!,Is it blue?,Please look up.,B,"'What a beautiful sky!' expresses strong emotion, classifying it as exclamatory.",5
Meaning and Types,21,Which sentence gives advice?,You should study hard.,What a great idea!,Is it true?,Run now!,A,"'You should study hard' gives advice, classifying it as an imperative sentence.",6
Meaning and Types,22,Which sentence expresses a strong emotion?,The game is fun.,How exciting the game is!,Play the game.,Is it fun?,B,"'How exciting the game is!' expresses strong emotion, classifying it as exclamatory.",7
Meaning and Types,23,Which sentence is an optative sentence?,Good luck!,Run fast!,Is it true?,The sky is blue.,A,"'Good luck!' expresses a wish, classifying it as an optative sentence.",8
Meaning and Types,24,Which sentence is a negative assertive?,She is happy.,She is not happy.,Is she happy?,What a joy!,B,"'She is not happy' makes a negative statement, classifying it as a negative assertive sentence.",9
Meaning and Types,25,Which sentence is an imperative with a request?,Sit down!,Please sit down.,Is it time?,What a task!,B,'Please sit down' is an imperative sentence with a polite request.,10
Meaning and Types,26,Which sentence is a positive assertive?,She is not here.,She is here.,Is she here?,What a surprise!,B,"'She is here' makes a positive statement, classifying it as a positive assertive sentence.",6
Meaning and Types,27,Which sentence is an interrogative with a choice?,"Which do you prefer, tea or coffee?",Tea is good.,Drink tea!,What a taste!,A,"'Which do you prefer, tea or coffee?' asks a choice, classifying it as an interrogative sentence.",7
Meaning and Types,28,Which sentence is a negative imperative?,Do your homework!,Do not be late.,Is it done?,What a task!,B,"'Do not be late' is a negative imperative, giving a command not to do something, using full form.",8
Meaning and Types,29,Which sentence expresses a command?,The room is clean.,"Clean the room, please.",Is it clean?,How nice!,B,"'Clean the room, please' gives a command, classifying it as an imperative sentence.",9
Meaning and Types,30,Which sentence is an exclamatory with emotion?,The day is bright.,How bright the day is!,Is it bright?,Please look!,B,"'How bright the day is!' expresses strong emotion, classifying it as exclamatory.",10
Structures and Types,31,Which sentence has one independent clause?,"I like tea, but I prefer coffee.",She smiled when she saw him.,The bird flies.,"Although it rained, we played.",C,"'The bird flies' has one independent clause with no subordinate clauses, making it a simple sentence.",1
Structures and Types,32,Which sentence has a compound subject?,The dog barks.,The cat and dog play.,She runs fast.,He is happy.,B,'The cat and dog play' has a compound subject ('cat and dog') with the same verb 'play.',2
Structures and Types,33,Which sentence has a compound predicate?,The dog barks.,She sings and dances.,He is tall.,They run fast.,B,'She sings and dances' has a compound predicate ('sings and dances') with the same subject 'she.',3
Structures and Types,34,Which sentence is a compound sentence?,I like tea.,"I like tea, but he prefers coffee.",She smiled.,It rained yesterday.,B,"'I like tea, but he prefers coffee' has two independent clauses joined by 'but.'",4
Structures and Types,35,Which sentence has a subordinate clause?,The dog barks.,She smiled when he arrived.,He is tall.,They run fast.,B,'She smiled when he arrived' has a subordinate clause 'when he arrived.',5
Structures and Types,36,Which sentence is a complex sentence?,I like tea.,I like tea because it is warm.,She smiled.,It rained yesterday.,B,'I like tea because it is warm' has one independent and one subordinate clause.,6
Structures and Types,37,Which sentence has two independent clauses?,I like tea.,"I like tea, and he likes coffee.",She smiled.,It rained yesterday.,B,"'I like tea, and he likes coffee' has two independent clauses joined by 'and.'",7
Structures and Types,38,Which sentence has a subordinate clause?,The dog barks.,She laughed when he joked.,He is tall.,They run fast.,B,'She laughed when he joked' has a subordinate clause 'when he joked.',8
Structures and Types,39,Which sentence has a compound subject and predicate?,The dog barks.,The dog and cat eat and sleep.,He is tall.,They run fast.,B,'The dog and cat eat and sleep' has a compound subject ('dog and cat') and predicate ('eat and sleep').,9
Structures and Types,40,Which sentence is a complex sentence with multiple clauses?,I like tea.,"I like tea because it is warm, and I drink it daily.",She smiled.,It rained yesterday.,B,"'I like tea because it is warm, and I drink it daily' has one independent and two subordinate clauses.",10
Structures and Types,41,Which sentence has a compound predicate?,The cat sleeps.,She sings and dances.,He is tall.,They run fast.,B,'She sings and dances' has a compound predicate ('sings and dances') with the same subject 'she.',6
Structures and Types,42,Which sentence has a subordinate adverb clause?,The dog barks.,She ran because it rained.,He is tall.,They run fast.,B,'She ran because it rained' has a subordinate adverb clause 'because it rained.',7
Structures and Types,43,Which sentence has a compound subject?,The cat sleeps.,The dog and cat play.,He is tall.,They run fast.,B,'The dog and cat play' has a compound subject ('dog and cat') with the same verb 'play.',8
Structures and Types,44,Which sentence is a compound sentence with a semicolon?,I like tea.,I like tea; he prefers coffee.,She smiled.,It rained yesterday.,B,'I like tea; he prefers coffee' has two independent clauses joined by a semicolon.,9
Structures and Types,45,Which sentence has a compound subject and predicate?,The dog barks.,The dog and cat eat and sleep.,He is tall.,They run fast.,B,'The dog and cat eat and sleep' has a compound subject ('dog and cat') and predicate ('eat and sleep').,10
Wh-Questions,46,Which question begins with a Wh-word?,Is it sunny?,What is your name?,Close the window.,Hurry up!,B,"'What is your name?' begins with 'What,' a Wh-word used to ask questions.",1
Wh-Questions,47,Which Wh-word asks about a person?,What,Where,Who,When,C,"'Who' asks about a person, as in 'Who is he?'",2
Wh-Questions,48,Which question asks about time?,Where are you?,When will you arrive?,What is that?,Who is he?,B,"'When will you arrive?' asks about time, using the Wh-word 'when.'",3
Wh-Questions,49,Which question asks about a reason?,Why did you leave?,Where are you?,What is it?,When will it start?,A,"'Why did you leave?' asks about a reason, using the Wh-word 'why.'",4
Wh-Questions,50,Which question asks about possession?,Whose book is this?,Where is it?,What is it?,When did you get it?,A,"'Whose book is this?' asks about possession, using the Wh-word 'whose.'",5
Wh-Questions,51,Which question asks about a place?,Where are you going?,Why did you go?,What is it?,When will it start?,A,"'Where are you going?' asks about a place, using the Wh-word 'where.'",6
Wh-Questions,52,Which question asks about a manner?,How did you do it?,Where are you?,What is it?,When will it end?,A,"'How did you do it?' asks about manner, using the Wh-word 'how.'",7
Wh-Questions,53,Which question asks about a choice?,Which book do you want?,Where is it?,What is it?,When will it start?,A,"'Which book do you want?' asks about a choice, using the Wh-word 'which.'",8
Wh-Questions,54,Which question asks about quantity?,How many books do you have?,Where are they?,What are they?,When will you get them?,A,"'How many books do you have?' asks about quantity, using 'how many.'",9
Wh-Questions,55,Which question asks about duration?,How long will it take?,Where are you?,What is it?,When will it end?,A,"'How long will it take?' asks about duration, using 'how long.'",10
Tag Questions,56,Which tag question follows an affirmative statement?,"You are happy, are you?","You are happy, are not you?","You are not happy, are you?","You are not happy, are not you?",B,"'You are happy, are not you?' follows an affirmative statement with a negative tag, using full form as required.",1
Tag Questions,57,Which tag follows 'She is not here'?,is she?,is not she?,are you?,are not you?,A,"'She is not here, is she?' follows a negative statement with an affirmative tag, using full form.",2
Tag Questions,58,Which tag follows 'They have finished'?,have they?,have not they?,are you?,are not you?,B,"'They have finished, have not they?' follows an affirmative statement with a negative tag, using full form.",3
Tag Questions,59,Which tag follows 'You have not seen him'?,have you?,have not you?,are you?,are not you?,A,"'You have not seen him, have you?' follows a negative statement with an affirmative tag, using full form.",4
Tag Questions,60,Which tag follows 'It is not raining'?,is it?,is not it?,are you?,are not you?,A,"'It is not raining, is it?' follows a negative statement with an affirmative tag, using full form.",5
Tag Questions,61,Which tag follows 'They have started'?,have they?,have not they?,are you?,are not you?,B,"'They have started, have not they?' follows an affirmative statement with a negative tag, using full form.",6
Tag Questions,62,Which tag follows 'You have not eaten'?,have you?,have not you?,are you?,are not you?,A,"'You have not eaten, have you?' follows a negative statement with an affirmative tag, using full form.",7
Tag Questions,63,Which tag follows 'It is not true'?,is it?,is not it?,are you?,are not you?,A,"'It is not true, is it?' follows a negative statement with an affirmative tag, using full form.",8
Tag Questions,64,Which tag follows 'They have not left'?,have they?,have not they?,are you?,are not you?,A,"'They have not left, have they?' follows a negative statement with an affirmative tag, using full form.",9
Tag Questions,65,Which tag follows 'Nobody knows'?,does he?,do they?,do not they?,does not he?,B,"'Nobody knows, do they?' follows a negative statement with 'nobody' using 'they' in the tag, with full form.",10
Short Answers,66,What is a polite short answer to 'Would you like water?',Yes.,No.,"Yes, please.",Maybe.,C,"'Yes, please' is a polite short answer, commonly used for offers.",1
Short Answers,67,What is a short answer to 'Did you see?',"Yes, I did.",I saw it.,No way.,Maybe.,A,"'Yes, I did' is a standard short answer to a yes/no question.",2
Short Answers,68,What is a polite decline to 'Shall we eat now?',"Yes, please.","No, thanks.",Sure.,Okay.,B,"'No, thanks' is a polite decline, often with a reason implied.",3
Short Answers,69,What is a short answer to 'Can you help?',"Yes, I can.",I will help.,No way.,Maybe.,A,"'Yes, I can' is a standard short answer to a yes/no question.",4
Short Answers,70,What is a polite acceptance to 'Would you join us?',"Yes, I would.","No, thanks.",Maybe.,Sure.,A,"'Yes, I would' is a polite acceptance, often with enthusiasm.",5
Short Answers,71,What is a decline with a reason to 'Shall we dance?',"Yes, please.","No, thanks, I am tired.",Sure.,Okay.,B,"'No, thanks, I am tired' declines with a polite reason, using full form.",6
Short Answers,72,What is a polite offer response to 'Shall I help?',"Yes, please.","No, thanks.",Maybe.,Sure.,A,"'Yes, please' accepts a polite offer with enthusiasm.",7
Short Answers,73,What is a decline with a reason to 'Would you join?',"Yes, I would.","No, thanks, I am busy.",Sure.,Okay.,B,"'No, thanks, I am busy' declines with a polite reason, using full form.",8
Short Answers,74,What is an enthusiastic acceptance to 'Would you come?',"Yes, I would.","No, thanks.",Maybe.,"Sure, I would love to!",D,"'Sure, I would love to!' accepts with enthusiasm, using full form.",9
Short Answers,75,What is a polite refusal to 'Shall I call you?',"Yes, please.","No, thanks, I will call you.",Sure.,Okay.,B,"'No, thanks, I will call you' refuses with a polite reason, using full form.",10
