Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Narrative Writing,1,What is the main purpose of a narrative composition?,To describe a place vividly,To tell a story or personal experience,To argue a point,To explain a process,B,"A narrative composition’s primary purpose is to tell a story or share a personal experience, as outlined in the chapter.",1
Narrative Writing,2,Which part of a narrative composition introduces the main idea?,Conclusion,Body,Introduction,Summary,C,The introduction presents the main idea or theme to engage the reader and set the narrative’s direction.,2
Narrative Writing,3,What should the body of a narrative composition focus on?,Summarizing the story,Developing the events and details,Introducing new characters,Comparing themes,B,The body develops the events and details introduced in the introduction to advance the story.,3
Narrative Writing,4,Which of the following should be avoided in the conclusion of a narrative composition?,Restating the theme,Summarizing the impact,Introducing new events,Reflecting on the experience,C,The conclusion should avoid introducing new events and focus on summarizing the discussed ideas.,4
Narrative Writing,5,Which sentence best serves as an introduction for a narrative about a birthday party?,We ate delicious cake.,"Last weekend, I celebrated my birthday with friends.",I received many gifts.,The party ended late.,B,This sentence introduces the main event—the birthday party—in a clear and engaging way.,5
Narrative Writing,6,What is a key characteristic of a narrative composition’s structure?,It consists of unrelated paragraphs.,"It has three parts: introduction, body, and conclusion.",It avoids detailed descriptions.,It focuses only on dialogue.,B,"A narrative composition has three essential parts: introduction, body, and conclusion, as per the chapter.",6
Narrative Writing,7,Which of the following topics is most suitable for a narrative composition?,The features of a city,A memorable school trip,The benefits of reading,A guide to studying,B,A memorable school trip is a personal experience ideal for storytelling in a narrative composition.,7
Narrative Writing,8,What should the conclusion of a narrative about a family vacation emphasize?,The vacation’s cost,The planning process,The emotional impact or lessons learned,The travel itinerary,C,The conclusion should summarize the emotional impact or lessons learned from the vacation.,8
Narrative Writing,9,Which sentence best develops the body of a narrative about a sports match?,The team trained for weeks.,Our team scored the winning goal in the final minute.,The stadium was large.,The match was exciting.,B,"This sentence provides a specific event that advances the story, suitable for the body.",9
Narrative Writing,10,What is the main challenge in writing a narrative composition’s body?,Introducing the theme,Avoiding excessive detail,Summarizing the story,Comparing characters,B,The body should provide enough detail to develop the story without including excessive or irrelevant information.,10
Narrative Writing,11,Which part of a narrative composition sets the tone for the story?,Body,Introduction,Conclusion,Dialogue,B,The introduction sets the tone by presenting the main idea and engaging the reader.,1
Narrative Writing,12,Which sentence best concludes a narrative about a lost pet?,I searched for my cat all day.,My cat went missing last week.,I learned to value my pet more.,We put up posters everywhere.,C,"This sentence summarizes the lesson learned, making it an effective conclusion.",2
Narrative Writing,13,What is the primary difference between a narrative composition and a paragraph?,Purpose and audience,Length and structure,Tone and style,Theme and content,B,"A narrative composition is longer and has a three-part structure, while a paragraph is shorter but similar in structure.",3
Narrative Writing,14,Which of the following is a suitable body detail for a narrative about a festival?,The festival’s history,The colorful decorations and dances,The festival’s budget,A comparison with other festivals,B,The body should focus on events like decorations and dances to develop the narrative.,4
Narrative Writing,15,Which sentence best introduces a narrative about a storm?,The rain fell heavily.,A fierce storm struck our town last night.,We stayed indoors.,The storm caused damage.,B,This sentence introduces the main event—the storm—in an engaging way.,5
Narrative Writing,16,What should the body of a narrative about a school event include?,The school’s history,The activities and interactions during the event,The event’s funding,A comparison with other events,B,The body should detail the activities and interactions to advance the narrative.,6
Narrative Writing,17,Which of the following is NOT a feature of a narrative composition?,Closely related paragraphs,Clear development of ideas,Inclusion of new ideas in the conclusion,Engaging storytelling,C,The conclusion should not include new ideas; it summarizes the discussed content.,7
Narrative Writing,18,What is the role of the introduction in a narrative about a hiking trip?,To summarize the trip’s outcome,To describe the trail in detail,To present the trip as the main event,To compare hiking with other activities,C,The introduction presents the hiking trip as the main event to set up the narrative.,8
Narrative Writing,19,Which sentence best concludes a narrative about a competition?,We practiced for weeks.,The competition was tough.,Winning taught me perseverance.,The judges were strict.,C,"This sentence summarizes the lesson learned, serving as an effective conclusion.",9
Narrative Writing,20,What should a narrative composition’s conclusion avoid?,Reflecting on the story’s impact,Introducing a new character,Summarizing key events,Restating the main idea,B,Introducing a new character in the conclusion disrupts the narrative’s focus.,10
Narrative Writing,21,What is the purpose of the body in a narrative composition?,To introduce the setting,To develop the story’s events,To summarize the theme,To present new ideas,B,The body develops the story’s events and details introduced in the introduction.,1
Narrative Writing,22,Which sentence best introduces a narrative about a family picnic?,We played games all day.,Our family enjoyed a picnic last summer.,The food was delicious.,The park was crowded.,B,This sentence introduces the main event—the picnic—in a clear and engaging way.,2
Narrative Writing,23,Which topic is best suited for a narrative composition?,The advantages of technology,A frightening experience,A description of a forest,A plan to save water,B,A frightening experience is a personal story ideal for narrative writing.,3
Narrative Writing,24,What should the conclusion of a narrative about a school play focus on?,The rehearsal schedule,The costume designs,The performance’s impact,The play’s script,C,The conclusion should summarize the performance’s impact or lessons learned.,4
Narrative Writing,25,Which sentence best develops the body of a narrative about a pet?,My dog is a golden retriever.,My dog chased a squirrel in the park yesterday.,I feed my dog twice a day.,Dogs are loyal animals.,B,"This sentence provides a specific event that advances the narrative, suitable for the body.",5
Narrative Writing,26,What is a key feature of a narrative composition’s introduction?,Detailed event descriptions,Engaging the reader with the main idea,Summarizing the conclusion,Comparing characters,B,The introduction engages the reader by presenting the main idea or event.,6
Narrative Writing,27,Which of the following is a suitable body detail for a narrative about a journey?,The journey’s cost,The sights and experiences along the way,The destination’s history,A comparison with other journeys,B,The body should focus on the sights and experiences to develop the narrative.,7
Narrative Writing,28,What should a narrative composition’s introduction avoid?,Setting the main event,Engaging the reader,Introducing unrelated details,Presenting the tone,C,The introduction should avoid unrelated details to maintain focus on the narrative.,8
Narrative Writing,29,Which sentence best concludes a narrative about a friendship?,We met at school.,My friend helped me during a crisis.,I learned the value of loyalty.,We talked every day.,C,"This sentence summarizes the lesson learned, serving as an effective conclusion.",9
Narrative Writing,30,What is the main challenge in writing a narrative composition’s introduction?,Summarizing the story,Engaging the reader effectively,Describing all events,Comparing themes,B,Engaging the reader effectively while presenting the main idea is a key challenge.,10
Narrative Writing,31,Which part of a narrative composition summarizes the story’s impact?,Introduction,Body,Conclusion,Dialogue,C,The conclusion summarizes the story’s impact or lessons learned.,1
Narrative Writing,32,Which sentence best introduces a narrative about a cultural event?,The event was colorful.,"Last month, I attended a vibrant festival.",We ate traditional food.,The event ended late.,B,This sentence introduces the main event—the festival—in an engaging way.,2
Narrative Writing,33,What is the main purpose of a narrative composition’s body?,To introduce new themes,To develop the introduced events,To summarize the story,To compare characters,B,The body develops the events and details introduced in the introduction.,3
Narrative Writing,34,Which of the following topics is suitable for a narrative composition?,A guide to cooking,A memorable exam experience,The features of a river,The benefits of exercise,B,A memorable exam experience is a personal story ideal for narrative writing.,4
Narrative Writing,35,Which sentence best concludes a narrative about a school trip?,We visited a museum.,The trip was fun.,The trip taught me about history.,We traveled by bus.,C,"This sentence summarizes the lesson learned, making it an effective conclusion.",5
Narrative Writing,36,What should the body of a narrative about a competition include?,The competition’s rules,The moments of the match,The prize details,A comparison with other competitions,B,The body should detail the moments of the match to develop the narrative.,6
Narrative Writing,37,Which of the following is a key characteristic of a narrative composition?,Vivid sensory details,Closely related paragraphs,Multiple unrelated themes,Focus on arguments,B,A narrative composition features closely related paragraphs that develop the story.,7
Narrative Writing,38,What is the role of the conclusion in a narrative about a pet?,To introduce the pet,To describe the pet’s habits,To summarize the pet’s impact,To compare pets,C,The conclusion summarizes the pet’s impact or lessons learned.,8
Narrative Writing,39,Which sentence best develops the body of a narrative about a storm?,The storm was loud.,The wind uprooted trees in our yard.,Storms are dangerous.,We watched the news.,B,"This sentence provides a specific event that advances the narrative, suitable for the body.",9
Narrative Writing,40,What should a narrative composition’s body avoid?,Developing the main events,Providing relevant details,Introducing unrelated themes,Engaging the reader,C,The body should avoid introducing unrelated themes to maintain narrative focus.,10
Narrative Writing,41,Which sentence best introduces a narrative about a holiday?,We opened gifts.,"Last winter, we celebrated a joyful holiday.",The food was tasty.,The holiday was fun.,B,This sentence introduces the main event—the holiday—in an engaging way.,1
Narrative Writing,42,What should the conclusion of a narrative about a journey emphasize?,The travel costs,The destination’s history,The journey’s impact,The packing process,C,The conclusion should summarize the journey’s impact or lessons learned.,2
Narrative Writing,43,Which of the following is a suitable body detail for a narrative about a school play?,The school’s location,The performance and rehearsals,The play’s budget,A comparison with other plays,B,The body should focus on the performance and rehearsals to develop the narrative.,3
Narrative Writing,44,What is the main goal of a narrative composition’s introduction?,To describe all events,To present the main event or idea,To summarize the impact,To introduce new characters,B,The introduction presents the main event or idea to engage the reader.,4
Narrative Writing,45,Which sentence best develops the body of a narrative about a festival?,The festival was old.,The streets were filled with music and lights.,Festivals are fun.,We planned the event.,B,"This sentence provides a specific event that advances the narrative, suitable for the body.",5
Narrative Writing,46,What is a key feature of a narrative composition’s conclusion?,Introducing new events,Summarizing the story’s impact,Describing the setting,Comparing themes,B,The conclusion summarizes the story’s impact or lessons learned.,6
Narrative Writing,47,Which topic is most appropriate for a narrative composition?,A description of a city,A frightening accident,The benefits of recycling,A guide to painting,B,A frightening accident is a personal story ideal for narrative writing.,7
Narrative Writing,48,What should the body of a narrative about a friendship include?,The friend’s background,The moments spent together,The friend’s hobbies,A comparison with other friends,B,The body should detail the moments spent together to develop the narrative.,8
Narrative Writing,49,Which sentence best concludes a narrative about a hiking trip?,We packed our bags.,The trail was steep.,The hike taught me resilience.,We saw a waterfall.,C,"This sentence summarizes the lesson learned, serving as an effective conclusion.",9
Narrative Writing,50,What is the main challenge in writing a narrative composition’s conclusion?,Describing events,Avoiding new ideas,Introducing characters,Developing details,B,Avoiding new ideas ensures the conclusion summarizes the narrative effectively.,10
Descriptive Writing,51,What is the primary purpose of a descriptive composition?,To tell a story,To describe a scene vividly,To argue a point,To instruct a process,B,A descriptive composition aims to describe a scene or experience vividly using sensory details.,1
Descriptive Writing,52,Which part of a descriptive composition creates the initial imagery?,Body,Conclusion,Introduction,Summary,C,The introduction presents the scene vividly to create initial imagery and engage the reader.,2
Descriptive Writing,53,What should the body of a descriptive composition focus on?,Summarizing the scene,Providing vivid sensory details,Introducing new themes,Comparing locations,B,The body provides vivid sensory details to create imagery and describe the scene.,3
Descriptive Writing,54,Which of the following should be avoided in the conclusion of a descriptive composition?,Summarizing the scene’s impact,Reflecting on the description,Introducing a new scene,Restating the main image,C,The conclusion should avoid introducing a new scene and focus on summarizing the impact.,4
Descriptive Writing,55,Which sentence best serves as an introduction for a descriptive composition about a market?,The market sold fruits.,"Every morning, the market buzzes with vibrant colors.",I shopped there.,The market was crowded.,B,"This sentence vividly introduces the market, setting the scene for the description.",5
Descriptive Writing,56,What is a key characteristic of a descriptive composition?,A focus on storytelling,Use of vivid sensory details,Inclusion of arguments,A three-part narrative structure,B,"A descriptive composition uses vivid sensory details to create imagery, as per the chapter.",6
Descriptive Writing,57,Which topic is most suitable for a descriptive composition?,A personal life story,A bustling train station,A plan to save energy,A debate on education,B,A bustling train station is ideal for vivid description using sensory details.,7
Descriptive Writing,58,What should the conclusion of a descriptive composition about a beach emphasize?,The beach’s history,The travel cost,The beach’s beauty and impact,The swimming schedule,C,The conclusion should summarize the beach’s beauty and its impact on the observer.,8
Descriptive Writing,59,Which sentence best develops the body of a descriptive composition about a forest?,The forest is old.,Tall trees cast shadows and birds chirp loudly.,Forests are important.,I visited a forest.,B,"This sentence provides vivid sensory details, suitable for the body of a descriptive composition.",9
Descriptive Writing,60,What is the main challenge in writing a descriptive composition’s body?,Introducing the scene,Providing enough sensory details,Summarizing the impact,Comparing locations,B,Providing enough sensory details to create vivid imagery is a key challenge in the body.,10
Descriptive Writing,61,Which part of a descriptive composition sets the scene initially?,Conclusion,Body,Introduction,Dialogue,C,The introduction sets the scene by vividly presenting the subject.,1
Descriptive Writing,62,Which sentence best concludes a descriptive composition about a city?,The city was noisy.,I visited the city.,The city’s energy left a lasting impression.,The city has tall buildings.,C,"This sentence summarizes the city’s impact, making it an effective conclusion.",2
Descriptive Writing,63,What is the primary difference between a descriptive and a narrative composition?,Length and structure,Purpose: imagery vs. storytelling,Tone and style,Audience and theme,B,"A descriptive composition focuses on vivid imagery, while a narrative focuses on storytelling.",3
Descriptive Writing,64,Which of the following is a suitable body detail for a descriptive composition about a festival?,The festival’s budget,The vibrant costumes and music,The festival’s history,A comparison with other festivals,B,The body should focus on sensory details like costumes and music to create imagery.,4
Descriptive Writing,65,Which sentence best introduces a descriptive composition about a river?,The river flows gently through the town.,I swam in the river.,The river is long.,The river has fish.,A,"This sentence vividly introduces the river, setting the scene for the description.",5
Descriptive Writing,66,What should the body of a descriptive composition about a school include?,The school’s history,The sounds of students and bells,The school’s budget,A comparison with other schools,B,The body should describe sensory details like sounds to create vivid imagery.,6
