Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
"Can and Could, May and Might",1,Which sentence uses can to express ability?,Rehana can write shorthand.,Rehana can not use a computer.,Rehana could tell the time.,Rehana might join a course.,A,"Can expresses ability, as seen in Rehana can write shorthand.",1
"Can and Could, May and Might",2,Identify the function of could in: Could you tell me the time?,Ability,Request,Possibility,Prohibition,B,"Could is used to make a polite request, like Could you tell me the time.",2
"Can and Could, May and Might",3,Which sentence uses can not to indicate prohibition?,Students can bring calculators.,Students can not bring mobile phones.,Students could use books.,Students might pass.,B,"Can not expresses prohibition, as in students can not bring mobile phones.",3
"Can and Could, May and Might",4,What does might express in: You might see her tomorrow?,Certainty,Possibility,Permission,Ability,B,"Might indicates a possible future event, like you might see her tomorrow.",4
"Can and Could, May and Might",5,Which sentence uses could to describe past ability?,I can walk for miles now.,I could walk for miles before.,I might walk today.,I can not walk now.,B,"Could describes past ability, as in I could walk for miles before.",5
"Can and Could, May and Might",6,Choose the correct option to express a polite request: ___ you pass the salt?,Can,Could,May,Might,B,"Could is used for polite requests, like Could you pass the salt.",6
"Can and Could, May and Might",7,Which sentence uses may to ask for permission?,May I try on these shoes?,I can try these shoes.,I might try these shoes.,I could try these shoes.,A,"May is used to ask for permission formally, like May I try on these shoes.",7
"Can and Could, May and Might",8,What does can express in: Can you hear me at the back?,Ability,Request,Possibility,Prohibition,A,"Can expresses ability to perform an action, like Can you hear me.",8
"Can and Could, May and Might",9,Which sentence indicates a weaker possibility with might?,It may rain this evening.,It might rain this evening.,It will rain this evening.,It can rain this evening.,B,"Might suggests a weaker possibility compared to may, like might rain.",9
"Can and Could, May and Might",10,Identify the tense reference in: He might be in his office now.,Present,Past,Future,All of these,A,"Might refers to present possibility, as in he might be in his office now.",10
"Can and Could, May and Might",11,Which sentence uses can to give permission?,You can borrow my dictionary.,You might borrow my dictionary.,You could borrow my dictionary.,You may borrow my dictionary.,A,"Can is used to give permission informally, like you can borrow my dictionary.",1
"Can and Could, May and Might",12,What function does could have in: You could read books at home?,Advice,Request,Prohibition,Ability,A,"Could suggests a possible action as advice, like you could read books.",2
