Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Simple Present and Present Continuous,1,Which sentence uses the simple present tense correctly?,Mr. Ahmed is writing a book now.,Mr. Ahmed works at home.,Mrs. Ahmed is gardening today.,They are talking now.,B,The simple present tense describes habits. Mr. Ahmed works at home is a habit.,1
Simple Present and Present Continuous,2,Fill in the blank: She ___ romantic movies.,likes,is liking,like,liking,A,The simple present is used for preferences. Likes is the correct form for third-person singular.,2
Simple Present and Present Continuous,3,Which sentence is in the present continuous tense?,He works for ten hours daily.,They live in Khulna.,Mrs. Ahmed is sitting on a tree stump.,Mr. Ahmed writes every morning.,C,"The present continuous uses be plus verb-ing for actions happening now, like is sitting.",3
Simple Present and Present Continuous,4,Choose the correct question form: ___ you live in Khulna?,Do,Are,Does,Is,A,Simple present questions for plural subjects use do plus base verb.,4
Simple Present and Present Continuous,5,Which verb is not used in continuous form?,She is believing the story.,He is writing a letter.,They are gardening.,I am helping.,A,State verbs like believe are not used in continuous form.,5
Simple Present and Present Continuous,6,Fill in the blank: He ___ not work less than others.,does,is,do,not,A,Simple present negative for third-person singular uses does not plus base verb.,6
Simple Present and Present Continuous,7,Which sentence shows a habit?,She is reading now.,He goes for long walks.,They are playing today.,I am writing.,B,"Simple present describes habits, like goes for long walks.",7
Simple Present and Present Continuous,8,Choose the correct form: Why ___ they talking now?,are,do,is,does,A,Present continuous questions use are plus verb-ing for plural subjects.,8
Simple Present and Present Continuous,9,Which sentence uses a frequency adverb correctly?,He often helps his wife.,He helps often his wife.,He is often helping.,Often he helps.,A,Frequency adverbs like often go before the main verb in simple present.,9
Simple Present and Present Continuous,10,Fill in the blank: She ___ about her daughters now.,is thinking,thinks,think,are thinking,A,The verb think as an action uses present continuous for current thoughts.,10
Simple Present and Present Continuous,11,Which negative sentence is correct?,She is not working.,She not is working.,She do not work.,She not works.,A,Present continuous negative uses be plus not plus verb-ing.,1
Simple Present and Present Continuous,12,What does simple present express in: Milk is white?,Fact,Habit,Current action,Plan,A,"Simple present is used for facts, like Milk is white.",2
Simple Present and Present Continuous,13,Choose the correct form: ___ he work at home?,Does,Is,Do,Has,A,Simple present questions for third-person singular use does plus base verb.,3
Simple Present and Present Continuous,14,Which sentence is in present continuous?,I like tea.,She walks daily.,They are talking about their daughters.,He works hard.,C,"Present continuous uses be plus verb-ing for actions now, like are talking.",4
Simple Present and Present Continuous,15,Fill in the blank: We ___ our friends every weekend.,visit,are visiting,visits,is visiting,A,Simple present with every indicates a habit.,5
Simple Present and Present Continuous,16,Which verb form is correct: I ___ this news.,do not believe,am not believing,does not believe,not believe,A,"State verb believe uses simple present, not continuous.",6
Simple Present and Present Continuous,17,Choose the correct question: ___ they gardening now?,Do,Are,Does,Is,B,Present continuous questions use are for plural subjects.,7
Simple Present and Present Continuous,18,Which sentence is correct?,He is liking the garden.,She loves the garden.,They are love the garden.,We likes the garden.,B,"State verb love uses simple present, not continuous.",8
Simple Present and Present Continuous,19,Fill in the blank: She ___ at the theatre this evening.,is appearing,appears,appear,are appearing,A,The verb appear as an action uses present continuous for planned events.,9
Simple Present and Present Continuous,20,Which sentence expresses a future plan?,I am meeting Maya tomorrow.,She walks daily.,He likes tea.,They play soccer.,A,"Present continuous can express fixed future plans, like am meeting.",10
Simple Present and Present Continuous,21,Choose the correct form: The train ___ at 8 a.m.,arrives,is arriving,arrive,are arriving,A,"Simple present is used for schedules, like train arrivals.",1
Simple Present and Present Continuous,22,What is the negative of: She is gardening?,She is not gardening.,She not is gardening.,She do not garden.,She not gardens.,A,Present continuous negative uses be plus not plus verb-ing.,2
Simple Present and Present Continuous,23,Fill in the blank: I ___ not play tennis often.,do,am not,does not,not,A,Simple present negative for first-person uses do not plus base verb.,3
Simple Present and Present Continuous,24,Which sentence is correct?,She is have lunch.,She is having lunch.,She have lunch.,She having lunch.,B,The verb have as an action uses present continuous.,4
Simple Present and Present Continuous,25,What does present continuous express in: They are working in the garden today?,Temporary action,Habit,Fact,Schedule,A,"Present continuous describes temporary actions, like are working today.",5
Present Perfect and Present Perfect Continuous,26,Which sentence is in present perfect tense?,She has made a mistake.,She is making a mistake.,She made a mistake.,She was making a mistake.,A,Present perfect uses have or has plus past participle for completed actions.,6
Present Perfect and Present Perfect Continuous,27,Fill in the blank: I ___ for two hours.,have been trying,have tried,am trying,was trying,A,Present perfect continuous emphasizes duration of ongoing actions.,7
Present Perfect and Present Perfect Continuous,28,Choose the correct question: ___ you seen a peacock?,Have,Did,Are,Do,A,Present perfect questions use have plus past participle for experiences.,8
Present Perfect and Present Perfect Continuous,29,Fill in the blank: She ___ here since 2019.,has been living,has lived,lived,is living,A,Present perfect continuous shows ongoing action with duration.,9
Present Perfect and Present Perfect Continuous,30,Which sentence uses present perfect correctly?,I have eaten lunch.,I have ate lunch.,I eaten lunch.,I has eaten lunch.,A,"Present perfect uses have plus past participle, such as eaten.",10
Present Perfect and Present Perfect Continuous,31,What does present perfect express in: I have just finished my task?,Recent action,Habit,Ongoing action,Past action,A,Present perfect describes recently completed actions.,1
Present Perfect and Present Perfect Continuous,32,Choose the negative: They ___ arrived yet.,have not,has not,are not,did not,A,Present perfect negative for plural subjects uses have not plus past participle.,2
Present Perfect and Present Perfect Continuous,33,Fill in the blank: How long ___ you been studying?,have,"have, been",are,did,A,Present perfect continuous is used for ongoing actions with duration.,3
Present Perfect and Present Perfect Continuous,34,Which sentence is in present perfect continuous?,She has cleaned the room.,She has been cleaning the room.,She is cleaning the room.,She cleaned the room.,B,Present perfect continuous uses have or has plus been plus verb-ing.,4
Present Perfect and Present Perfect Continuous,35,What differs in: I have worked here vs. I have been working here?,Completion vs. duration,Fact vs. habit,Recent vs. past,Plan vs. action,A,Present perfect focuses on completion; present perfect continuous emphasizes duration.,5
Present Perfect and Present Perfect Continuous,36,Choose the correct form: I ___ never visited Nepal.,have,never,am never,never have,A,Present perfect is used for experiences with never.,6
Present Perfect and Present Perfect Continuous,37,Fill in the blank: They ___ since morning.,have been waiting,have waited,are waiting,waited,A,Present perfect continuous emphasizes ongoing action with since.,7
Present Perfect and Present Perfect Continuous,38,Which sentence shows a current result?,She has lost her keys.,She is losing her keys.,She lost her keys.,She was losing her keys.,A,Present perfect shows actions with present relevance.,8
