Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
স্কেলার রাশি ও ভেক্টর রাশি,1,নিচের কোনটি স্কেলার রাশি?,বেগ,ভর,সরণ,ওজন,B,ভর শুধুমাত্র মান বিশিষ্ট,1
স্কেলার রাশি ও ভেক্টর রাশি,2,নিচের কোনটি ভেক্টর রাশি?,সময়,দূরত্ব,ত্বরণ,শক্তি,C,ত্বরণ মান ও দিক বিশিষ্ট,1
স্কেলার রাশি ও ভেক্টর রাশি,3,স্কেলার রাশির বৈশিষ্ট্য কী?,মান ও দিক আছে,শুধু মান আছে,শুধু দিক আছে,কোনোটিই নয়,B,স্কেলার রাশির শুধু মান থাকে,1
স্কেলার রাশি ও ভেক্টর রাশি,4,ভেক্টর রাশির উদাহরণ কোনটি?,আয়তন,ঘনত্ব,বল,তাপমাত্রা,C,বল মান ও দিক বিশিষ্ট,1
স্কেলার রাশি ও ভেক্টর রাশি,5,নিচের কোন জোড়া স্কেলার রাশি?,বেগ ও বল,দূরত্ব ও সময়,সরণ ও ওজন,ভরবেগ ও ত্বরণ,B,দূরত্ব ও সময় স্কেলার রাশি,1
স্কেলার রাশি ও ভেক্টর রাশি,6,ভেক্টর রাশি প্রকাশ করা হয় কীভাবে?,ইটালিক অক্ষরে,তীর চিহ্ন দিয়ে,বোল্ড অক্ষরে,উপরের সবগুলো,D,ভেক্টর রাশি বিভিন্নভাবে প্রকাশ করা যায়,1
স্কেলার রাশি ও ভেক্টর রাশি,7,নিচের কোনটি ভেক্টর রাশি নয়?,ওজন,চাপ,বল,ভরবেগ,B,চাপ স্কেলার রাশি,2
স্কেলার রাশি ও ভেক্টর রাশি,8,স্কেলার ও ভেক্টর রাশির প্রধান পার্থক্য কী?,মান আছে কি না,দিক আছে কি না,উভয়েরই মান ও দিক আছে,কোনোটিই নয়,B,ভেক্টরে দিক থাকে স্কেলারে নেই,2
স্কেলার রাশি ও ভেক্টর রাশি,9,ভেক্টর রাশির মান শূন্য হলে তাকে কী বলে?,ইউনিট ভেক্টর,নাল ভেক্টর,ঋণাত্মক ভেক্টর,ধনাত্মক ভেক্টর,B,নাল ভেক্টরের মান শূন্য,2
স্কেলার রাশি ও ভেক্টর রাশি,10,নিচের কোনটি স্কেলার রাশি?,ত্বরণ,বেগ,দূরত্ব,ভরবেগ,C,দূরত্ব শুধু মান বিশিষ্ট,2
স্কেলার রাশি ও ভেক্টর রাশি,11,ভেক্টর যোগের নিয়ম কী?,বীজগাণিতিক যোগ,ত্রিভুজ সূত্র,সাধারণ গুণ,কোনোটিই নয়,B,ভেক্টর যোগ ত্রিভুজ সূত্রে হয়,2
স্কেলার রাশি ও ভেক্টর রাশি,12,স্কেলার রাশির একক কী?,দিক সহ,দিক ছাড়া,উভয়ই,কোনোটিই নয়,B,স্কেলার রাশির এককে দিক নেই,3
স্কেলার রাশি ও ভেক্টর রাশি,13,ভেক্টর রাশিকে বিভক্ত করা যায় কীভাবে?,দুই উপাংশে,এক উপাংশে,কোনোটিই নয়,উপরের সবগুলো,A,ভেক্টর রাশি দুই উপাংশে বিভক্ত হয়,3
