Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
মৌলিক ধারণা,1,একটি বিন্দু কী?,একটি নির্দিষ্ট অবস্থান যার কোনো মাত্রা নেই,একটি সরল রেখা,একটি ত্রিমাত্রিক আকৃতি,একটি সমতল,A,একটি বিন্দু হলো এমন একটি অবস্থান যার কোনো দৈর্ঘ্য প্রস্থ বা উচ্চতা নেই।,1
মৌলিক ধারণা,2,একটি সমতল কী?,একটি ত্রিমাত্রিক বস্তু,একটি দ্বিমাত্রিক তল যা অসীমভাবে বিস্তৃত,একটি বিন্দু,একটি বক্ররেখা,B,একটি সমতল হলো এমন একটি দ্বিমাত্রিক তল যা অসীমভাবে বিস্তৃত এবং কোনো বেধ নেই।,1
মৌলিক ধারণা,3,একটি সরলরেখা কীভাবে সংজ্ঞায়িত হয়?,দুটি বিন্দুকে সংযোগকারী সবচেয়ে ছোট পথ,একটি বক্ররেখা,একটি ত্রিমাত্রিক আকৃতি,একটি সমতল,A,একটি সরলরেখা হলো দুটি বিন্দুর মধ্যে সবচেয়ে ছোট দূরত্ব যা অসীমভাবে বিস্তৃত।,1
মৌলিক ধারণা,4,ঘনজ্যামিতিতে কোনটি ত্রিমাত্রিক আকৃতি নয়?,ঘনক,প্রিজম,সমতল,পিরামিড,C,সমতল হলো দ্বিমাত্রিক অন্যগুলো ত্রিমাত্রিক আকৃতি।,1
মৌলিক ধারণা,5,একটি ঘনকের মুখের সংখ্যা কত?,4,6,8,12,B,একটি ঘনকের ৬টি মুখ থাকে প্রতিটি মুখ বর্গাকার।,1
মৌলিক ধারণা,6,প্রিজম কী?,একটি ত্রিমাত্রিক আকৃতি যার দুটি সমান্তরাল ভিত্তি থাকে,একটি বিন্দু,একটি দ্বিমাত্রিক তল,একটি বক্রতল,A,প্রিজমের দুটি সমান্তরাল ভিত্তি থাকে যা পাশ দিয়ে সংযুক্ত।,1
মৌলিক ধারণা,7,একটি পিরামিডের ভিত্তি কী হতে পারে?,একটি বিন্দু,একটি ত্রিভুজ,একটি সরলরেখা,একটি সমতল,B,পিরামিডের ভিত্তি একটি বহুভুজ যেমন ত্রিভুজ বা চতুর্ভুজ হতে পারে।,2
মৌলিক ধারণা,8,দুটি সমতল কখন সমান্তরাল হয়?,যখন তারা পরস্পরকে কখনো ছেদ করে না,যখন তারা একটি বিন্দুতে মিলিত হয়,যখন তারা লম্ব হয়,যখন তারা একটি রেখায় মিলিত হয়,A,দুটি সমতল সমান্তরাল হয় যদি তারা কখনো ছেদ না করে এবং একই দিকে বিস্তৃত হয়।,2
মৌলিক ধারণা,9,একটি সরলরেখা ও সমতলের মধ্যে কোণ কী?,রেখাটি সমতলের সাথে যে কোণ তৈরি করে,রেখাটির দৈর্ঘ্য,সমতলের ক্ষেত্রফল,রেখাটির ঢাল,A,রেখা ও সমতলের মধ্যে কোণ হলো রেখাটি সমতলের সাথে যে কোণ তৈরি করে।,2
মৌলিক ধারণা,10,একটি ঘনকের কোণের সংখ্যা কত?,6,8,12,16,B,একটি ঘনকের ৮টি কোণ থাকে।,2
মৌলিক ধারণা,11,কোনটি ত্রিমাত্রিক আকৃতির উদাহরণ?,বৃত্ত,ত্রিভুজ,ঘনক,রেখা,C,ঘনক একটি ত্রিমাত্রিক আকৃতি অন্যগুলো দ্বিমাত্রিক।,2
মৌলিক ধারণা,12,একটি প্রিজমের পাশের মুখ কী আকৃতির হয়?,বর্গ,আয়তক্ষেত্র,ত্রিভুজ,যেকোনো বহুভুজ,D,প্রিজমের পাশের মুখ যেকোনো বহুভুজ হতে পারে ভিত্তির উপর নির্ভর করে।,2
মৌলিক ধারণা,13,একটি সমতলের মধ্যে কয়টি বিন্দু একটি সরলরেখা নির্ধারণ করে?,একটি,দুটি,তিনটি,চারটি,B,দুটি বিন্দু একটি সমতলের মধ্যে একটি সরলরেখা নির্ধারণ করে।,3
মৌলিক ধারণা,14,একটি পিরামিডের শীর্ষবিন্দু কী?,ভিত্তির কেন্দ্র,সমস্ত মুখের ছেদবিন্দু,একটি সরলরেখা,একটি সমতল,B,পিরামিডের শীর্ষবিন্দু হলো যেখানে সব পাশের মুখ মিলিত হয়।,3
মৌলিক ধারণা,15,দুটি রেখা কখন সমান্তরাল হয়?,যখন তারা একটি সমতলের উপর থাকে এবং কখনো ছেদ করে না,যখন তারা লম্ব হয়,যখন তারা একটি বিন্দুতে মিলিত হয়,যখন তারা বক্র হয়,A,সমান্তরাল রেখা একই সমতলে থাকে এবং কখনো ছেদ করে না।,3
মৌলিক ধারণা,16,একটি ঘনকের ধারের সংখ্যা কত?,6,8,12,16,C,একটি ঘনকের ১২টি ধার থাকে।,3
মৌলিক ধারণা,17,একটি সমতল কীভাবে নির্ধারিত হয়?,একটি বিন্দু দিয়ে,দুটি বিন্দু দিয়ে,তিনটি অসমরৈখিক বিন্দু দিয়ে,চারটি বিন্দু দিয়ে,C,তিনটি অসমরৈখিক বিন্দু একটি সমতল নির্ধারণ করে।,3
মৌলিক ধারণা,18,একটি প্রিজমের ভিত্তি কী হতে পারে?,একটি বিন্দু,একটি রেখা,একটি বহুভুজ,একটি বক্রতল,C,প্রিজমের ভিত্তি একটি বহুভুজ হয় যেমন ত্রিভুজ বা চতুর্ভুজ।,3
মৌলিক ধারণা,19,একটি রেখা কখন একটি সমতলের সাথে লম্ব হয়?,যখন রেখাটি সমতলের সাথে ৯০° কোণ তৈরি করে,যখন রেখাটি সমতলের সমান্তরাল,যখন রেখাটি সমতলের উপর থাকে,যখন রেখাটি বক্র হয়,A,রেখা সমতলের সাথে লম্ব হয় যদি তারা ৯০° কোণ তৈরি করে।,4
মৌলিক ধারণা,20,একটি ত্রিভুজাকার প্রিজমের মুখের সংখ্যা কত?,3,4,5,6,C,ত্রিভুজাকার প্রিজমের ৫টি মুখ থাকে: ২টি ত্রিভুজাকার ভিত্তি ও ৩টি আয়তক্ষেত্রাকার পাশ।,4
মৌলিক ধারণা,21,দুটি সমতলের ছেদ কী হতে পারে?,একটি বিন্দু,একটি রেখা,একটি সমতল,একটি বক্রতল,B,দুটি সমতলের ছেদ একটি সরলরেখা হয়।,4
মৌলিক ধারণা,22,একটি পিরামিডের মুখের সংখ্যা তার ভিত্তির উপর কীভাবে নির্ভর করে?,ভিত্তির বাহুর সংখ্যা + ১,ভিত্তির ক্ষেত্রফল,ভিত্তির কোণের সংখ্যা,ভিত্তির ধারের দৈর্ঘ্য,A,পিরামিডের মুখের সংখ্যা = ভিত্তির বাহুর সংখ্যা + ১।,4
মৌলিক ধারণা,23,একটি ঘনকের সব মুখ কী আকৃতির?,ত্রিভুজ,বর্গ,আয়তক্ষেত্র,বৃত্ত,B,ঘনকের সব মুখ বর্গাকার এবং সমান।,4
মৌলিক ধারণা,24,একটি রেখা ও সমতলের মধ্যে কোণ সর্বাধিক কত হতে পারে?,৪৫°,৬০°,৯০°,১২০°,C,রেখা ও সমতলের মধ্যে কোণ সর্বাধিক ৯০° হতে পারে (লম্ব হলে)।,4
