Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
সম্ভাবনার সাথে জড়িত কিছু ধারণা,1,সম্ভাবনার সংজ্ঞা কী?,একটি ঘটনার ফলাফলের সংখ্যা,একটি ঘটনার সম্ভাব্য ফলাফলের সম্ভাবনা,মোট ফলাফলের মধ্যে পছন্দসই ফলাফলের অনুপাত,কোনো ঘটনা ঘটার নিশ্চয়তা,C,সম্ভাবনা হলো মোট সম্ভাব্য ফলাফলের মধ্যে পছন্দসই ফলাফলের অনুপাত।,1
সম্ভাবনার সাথে জড়িত কিছু ধারণা,2,একটি মুদ্রা উল্টানোর সময় মাথা পড়ার সম্ভাবনা কত?,১/৪,১/২,৩/৪,1,B,মুদ্রার দুটি ফলাফল (মাথা বা লেজ) তাই সম্ভাবনা ১/২।,1
সম্ভাবনার সাথে জড়িত কিছু ধারণা,3,নমুনা স্থান কাকে বলে?,একটি পরীক্ষার সকল সম্ভাব্য ফলাফলের সেট,একটি ঘটনার পছন্দসই ফলাফল,একটি ঘটনার অসম্ভাব্য ফলাফল,কোনো ঘটনার নিশ্চিত ফলাফল,A,নমুনা স্থান হলো একটি পরীক্ষার সকল সম্ভাব্য ফলাফলের সেট।,1
সম্ভাবনার সাথে জড়িত কিছু ধারণা,4,একটি পাশা নিক্ষেপ করলে ৩ পড়ার সম্ভাবনা কত?,১/৬,১/৩,১/২,২/৩,A,পাশার ৬টি ফলাফল তাই ৩ পড়ার সম্ভাবনা ১/৬।,3
সম্ভাবনার সাথে জড়িত কিছু ধারণা,5,পরস্পর বর্জনীয় ঘটনা কী?,একই সাথে ঘটতে পারে এমন ঘটনা,একটি ঘটলে অন্যটি ঘটে না,সকল ঘটনা একসাথে ঘটে,কোনো ঘটনা ঘটে না,B,পরস্পর বর্জনীয় ঘটনা একসাথে ঘটতে পারে না।,2
সম্ভাবনার সাথে জড়িত কিছু ধারণা,6,একটি পাশা নিক্ষেপে জোড় সংখ্যা পড়ার সম্ভাবনা কত?,১/৩,১/২,২/৩,১/৬,B,"জোড় সংখ্যা: ২,৪, ৬ (৩টি), মোট ফলাফল ৬ তাই সম্ভাবনা ৩/৬ = ১/২।",4
সম্ভাবনার সাথে জড়িত কিছু ধারণা,7,নমুনা বিন্দু কী?,একটি পরীক্ষার একটি নির্দিষ্ট ফলাফল,সকল ফলাফলের সেট,একটি ঘটনার সম্ভাবনা,কোনো ঘটনার অনুপাত,A,নমুনা বিন্দু হলো নমুনা স্থানের একটি নির্দিষ্ট ফলাফল।,3
সম্ভাবনার সাথে জড়িত কিছু ধারণা,8,একটি মুদ্রা দুইবার উল্টালে দুটি মাথা পড়ার সম্ভাবনা কত?,১/৪,১/২,১/৩,১/৬,A,"নমুনা স্থান: {HH, HT,TH,TT} দুটি মাথা: ১টি	সম্ভাবনা ১/৪।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,9,সম্পূর্ণ ঘটনা কাকে বলে?,একটি ঘটনা অবশ্যই ঘটবে,একটি ঘটনা কখনো ঘটবে না,একটি ঘটনা আংশিক ঘটবে,কোনো ঘটনা ঘটার সম্ভাবনা শূন্য,A,সম্পূর্ণ ঘটনা নমুনা স্থানের সকল ফলাফল কভার করে।,2
সম্ভাবনার সাথে জড়িত কিছু ধারণা,10,একটি তাসের প্যাকেট থেকে হৃদয় পাতের তাস টানার সম্ভাবনা কত?,১/৪,১/২,১/৩,১/৫,A,"মোট তাস ৫২ হৃদয় পাত ১৩	তাই সম্ভাবনা ১৩/৫২ = ১/৪।",4
