Subtopic ,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty 
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,1,কোনো ত্রিভুজের ভূমি; ভূমি সংলগ্ন কোণ এবং উচ্চতা দেওয়া থাকলে; ত্রিভুজটি আঁকার প্রথম ধাপ কোনটি?,উচ্চতা অঙ্কন,ভূমি অঙ্কন,কোণ অঙ্কন,সমান্তরাল রেখা অঙ্কন,B,অঙ্কনের শুরুতে প্রদত্ত দৈর্ঘ্যের সমান করে ভূমির রেখাংশ কেটে নেওয়া হয়।,1
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,2,ত্রিভুজের ভূমি; ভূমি সংলগ্ন কোণ ও উচ্চতা দেওয়া থাকলে; ভূমির উপর লম্ব এঁকে কী কেটে নিতে হয়?,কোণের সমান চাপ,উচ্চতার সমান অংশ,ভূমির সমান অংশ,কর্ণের সমান অংশ,B,ভূমি থেকে উচ্চতার সমান অংশ কেটে লম্ব দূরত্ব নির্ধারণ করা হয়।,1
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,3,একটি ত্রিভুজের ভূমি a; ভূমি সংলগ্ন কোণ ∠x এবং উচ্চতা h দেওয়া আছে। MN || BC এবং M বিন্দুটি উচ্চতা নির্দেশ করলে; ∠ABC কত হবে?,∠M,∠N,∠x,90°,C,অঙ্কন অনুসারে ∠ABC প্রদত্ত ভূমি সংলগ্ন কোণ ∠x এর সমান হয়।,2
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,4,ত্রিভুজের ভূমি; ভূমি সংলগ্ন কোণ এবং অপর দুই বাহুর সমষ্টি দেওয়া থাকলে; প্রথমে কোন রেখাংশটি আঁকতে হয়?,ভূমি,অপর দুই বাহুর সমষ্টির সমান রেখাংশ,উচ্চতা,মধ্যমা,B,অঙ্কনের প্রথম ধাপে প্রদত্ত সমষ্টির সমান করে একটি রেখাংশ আঁকা হয়।,2
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,5,ত্রিভুজের ভূমি; ভূমি সংলগ্ন কোণ এবং অপর দুই বাহুর সমষ্টি দেওয়া আছে। সমষ্টি s এবং ভূমি সংলগ্ন কোণ ∠B হলে; s দৈর্ঘ্যের রেখাংশ BD থেকে BC = ভূমি কেটে নেওয়ার পর CD যোগ করে CD এর কোনটি আঁকতে হয়?,সমান্তরাল রেখা,লম্ব,লম্ব দ্বিখণ্ডক,কোণের সমদ্বিখণ্ডক,C,CD এর লম্ব দ্বিখণ্ডক আঁকলে সেটি BD কে A বিন্দুতে ছেদ করে; যা ত্রিভুজের শীর্ষবিন্দু।,3
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,6,ত্রিভুজের ভূমি 5 সেমি; ভূমি সংলগ্ন কোণ 60° এবং অপর দুই বাহুর সমষ্টি 7 সেমি। এক্ষেত্রে প্রথমে 7 সেমি রেখাংশ BD থেকে ভূমি BC = 5 সেমি কেটে নিলে; কোন বিন্দুতে 60° কোণ আঁকতে হবে?,B বিন্দুতে,C বিন্দুতে,D বিন্দুতে,A বিন্দুতে,A,ভূমি সংলগ্ন কোণ B বিন্দুতে অঙ্কন করতে হয় প্রদত্ত শর্তানুসারে।,3
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,7,ত্রিভুজের ভূমি; ভূমি সংলগ্ন কোণ ও অপর দুই বাহুর অন্তর দেওয়া থাকলে; অন্তর d এর সমান করে রেখাংশ কেটে নেওয়ার পর কোন বিন্দুতে প্রদত্ত কোণ আঁকতে হয়?,ভূমির এক প্রান্তে,অন্তর রেখাংশের শেষ প্রান্তে,যেকোনো বিন্দুতে,মাঝামাঝি কোনো বিন্দুতে,A,প্রদত্ত ভূমি সংলগ্ন কোণটি ভূমির নির্দিষ্ট প্রান্তবিন্দুতে আঁকা হয়।,3
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,8,কোনো ত্রিভুজের ভূমি 7.5 সেমি; ভূমি সংলগ্ন কোণ 45° এবং অপর দুই বাহুর অন্তর 2.5 সেমি। BX রশ্মি থেকে BC = 7.5 সেমি কেটে ∠YBC = 45° আঁকলে; BY থেকে কতটুকু কাটতে হবে?,7.5 সেমি,2.5 সেমি,5 সেমি,(7.5+2.5) সেমি,B,অঙ্কন অনুসারে অপর দুই বাহুর অন্তর BY থেকে কেটে নিতে হয়।,4
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,9,একটি ত্রিভুজের পরিসীমা ও দুইটি ভূমি সংলগ্ন কোণ দেওয়া থাকলে ত্রিভুজ আঁকার জন্য প্রথমে কী করতে হয়?,পরিসীমার সমান রেখাংশ আঁকতে হয়,একটি কোণ আঁকতে হয়,দুইটি কোণের সমষ্টি আঁকতে হয়,ভূমি আঁকতে হয়,A,প্রথমে প্রদত্ত পরিসীমার সমান দৈর্ঘ্যের একটি রেখাংশ আঁকা হয়।,4
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,10,ত্রিভুজের পরিসীমা p এবং ভূমি সংলগ্ন কোণ ∠x ও ∠y দেওয়া আছে। p দৈর্ঘ্যের রেখাংশের প্রান্তে কোণ দুটিকে কীভাবে আঁকতে হয়?,∠x ও ∠y করে,∠x/2 ও ∠y/2 করে,2∠x ও 2∠y করে,(180°-∠x) ও (180°-∠y) করে,B,পরিসীমার প্রান্তবিন্দুতে প্রদত্ত কোণগুলোর অর্ধেকের সমান কোণ আঁকতে হয়।,5
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,11,ত্রিভুজের ভূমি সংলগ্ন কোণ; উচ্চতা এবং অপর দুই বাহুর সমষ্টি দেওয়া থাকলে; প্রথমে কোন রেখাংশটি উচ্চতা হিসেবে ব্যবহার করা হয়?,ভূমি,অপর দুই বাহুর সমষ্টি,প্রদত্ত উচ্চতা,মধ্যমা,C,উচ্চতা নির্দিষ্ট করে সমান্তরাল রেখা আঁকার জন্য এটি প্রয়োজন হয়।,5
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,12,যদি ত্রিভুজের ভূমি a; উচ্চতা h এবং ভূমি সংলগ্ন কোণ ∠x হয়; তবে h উচ্চতায় ভূমির সমান্তরাল রেখা এবং ∠x এর একটি বাহুর ছেদবিন্দু কী নির্দেশ করে?,মধ্যমা বিন্দু,লম্ববিন্দু,ত্রিভুজের তৃতীয় শীর্ষবিন্দু,ভরকেন্দ্র,C,এই ছেদবিন্দুই ত্রিভুজের নির্ণেয় তৃতীয় শীর্ষবিন্দু গঠন করে।,5
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,13,ত্রিভুজের ভূমি; ভূমি সংলগ্ন কোণ এবং অপর দুই বাহুর সমষ্টি s দেওয়া থাকলে; s থেকে ভূমি বাদ দিলে যে রেখাংশ (CD) পাওয়া যায়; তার লম্ব সমদ্বিখণ্ডক আঁকলে কী পাওয়া যায়?,ত্রিভুজের উচ্চতা,ত্রিভুজের একটি শীর্ষবিন্দু,ত্রিভুজের মধ্যমা,ত্রিভুজের পরিকেন্দ্র,B,লম্ব সমদ্বিখণ্ডক s বাহুকে ছেদ করে ত্রিভুজের তৃতীয় শীর্ষবিন্দু গঠন করে।,6
ভূমি ও কোণ সংক্রান্ত ত্রিভুজ অঙ্কন,14,ত্রিভুজের ভূমি; ভূমি সংলগ্ন কোণ এবং অপর দুই বাহুর অন্তর d দেওয়া আছে। এক্ষেত্রে CD যোগ করার পর CD এর লম্ব সমদ্বিখণ্ডক আঁকলে; সেটি কোন রেখাংশকে ছেদ করে ত্রিভুজের শীর্ষবিন্দু তৈরি করে?,ভূমিকে,অন্তর d কে বর্ধিত করলে,অন্তর d এর সমান রেখাংশকে,কোণের বাহুকে,D,লম্ব সমদ্বিখণ্ডক কোণের বাহুকে ছেদ করে ত্রিভুজের তৃতীয় শীর্ষবিন্দু গঠন করে।,6
