Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
অনুপাত ও সমানুপাত,1,"দুটি সংখ্যার অনুপাত 3:5। যদি তাদের যোগফল 80 হয়, তবে বড় সংখ্যাটি কত?",30,40,50,60,C,"মনে করি, সংখ্যা দুটি 3x এবং 5x। তাদের যোগফল 3x + 5x = 8x = 80। ∴ x = 10। বড় সংখ্যা = 5x = 5 × 10 = 50।",3
অনুপাত ও সমানুপাত,2,"4:7 অনুপাতে দুটি সংখ্যার গুণফল 448 হলে, ছোট সংখ্যাটি কত?",16,18,20,22,A,"মনে করি, সংখ্যা দুটি 4x এবং 7x। তাদের গুণফল 4x × 7x = 28x² = 448। ∴ x² = 16, x = 4। ছোট সংখ্যা = 4x = 4 × 4 = 16।",4
অনুপাত ও সমানুপাত,3,"যদি a:b = 2:3 এবং b:c = 4:5 হয়, তবে a:c কত?",2:5,8:15,3:5,4:9,B,"a:b = 2:3, b:c = 4:5। b-এর মান সমান করতে, b-এর LCM নিই, যা 12। তাই, a:b = 8:12, b:c = 12:15। ∴ a:c = 8:15।",5
অনুপাত ও সমানুপাত,4,"দুটি সংখ্যার অনুপাত 5:8। যদি বড় সংখ্যা 48 হয়, তবে ছোট সংখ্যাটি কত?",25,30,35,40,B,"অনুপাত 5:8, বড় সংখ্যা 8x = 48। ∴ x = 6। ছোট সংখ্যা = 5x = 5 × 6 = 30।",1
অনুপাত ও সমানুপাত,5,"যদি 3x:5y = 2:3 হয়, তবে x:y কত?",2:5,3:5,5:2,10:9,D,"3x:5y = 2:3। ∴ 3x/5y = 2/3। ক্রস গুণ করে, 9x = 10y। ∴ x/y = 10/9। তাই, x:y = 10:9।",6
অনুপাত ও সমানুপাত,6,"একটি ক্লাসে ছাত্র এবং ছাত্রীর অনুপাত 3:2। যদি মোট 50 জন থাকে, তবে ছাত্রীর সংখ্যা কত?",20,25,30,35,A,"মনে করি, ছাত্র 3x এবং ছাত্রী 2x। তাদের যোগফল 3x + 2x = 5x = 50। ∴ x = 10। ছাত্রী = 2x = 2 × 10 = 20।",3
অনুপাত ও সমানুপাত,7,"যদি a:b = 3:4 এবং b:c = 5:6 হয়, তবে a:b:c কত?",15:20:24,12:16:20,9:12:15,10:15:18,A,"a:b = 3:4, b:c = 5:6। b-এর LCM = 20। তাই, a:b = 15:20, b:c = 20:24। ∴ a:b:c = 15:20:24।",7
অনুপাত ও সমানুপাত,8,দুটি সংখ্যার অনুপাত 7:9 এবং তাদের বিয়োগফল 10। বড় সংখ্যাটি কত?,45,54,63,72,B,"মনে করি, সংখ্যা 7x এবং 9x। তাদের বিয়োগফল 9x - 7x = 2x = 10। ∴ x = 5। বড় সংখ্যা = 9x = 9 × 5 = 54।",4
অনুপাত ও সমানুপাত,9,"যদি 4a = 5b হয়, তবে a:b কত?",4:5,5:4,2:3,3:2,B,"4a = 5b। ∴ a/b = 5/4। তাই, a:b = 5:4।",2
অনুপাত ও সমানুপাত,10,"একটি মিশ্রণে দুধ এবং পানির অনুপাত 4:1। যদি মিশ্রণ 50 লিটার হয়, তবে দুধ কত লিটার?",30,35,40,45,C,দুধ:পানি = 4:1। মোট অংশ = 4 + 1 = 5। দুধ = (4/5) × 50 = 40 লিটার।,3
