Subtopic,QuestionNumber,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
সমতলক্ষেত্রের ক্ষেত্রফল,1,একটি আয়তক্ষেত্রের দৈর্ঘ্য ১০ সেমি এবং প্রস্থ ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,40,50,60,70,  B,আয়তক্ষেত্রের ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = ১০ × ৫ = ৫০ বর্গ সেমি। Option B সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,2,একটি বর্গক্ষেত্রের বাহুর দৈর্ঘ্য ৮ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,48,56,64,72,  C,বর্গক্ষেত্রের ক্ষেত্রফল = বাহু² = ৮² = ৬৪ বর্গ সেমি। Option C সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,3,একটি ত্রিভুজের ভূমি ১২ সেমি এবং উচ্চতা ৬ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,36,42,48,54,  A,ত্রিভুজের ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা = ১/২ × ১২ × ৬ = ৩৬ বর্গ সেমি। Option A সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,4,একটি বৃত্তের ব্যাসার্ধ ৭ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),150.72,153.86,154,156.25,  B,বৃত্তের ক্ষেত্রফল = πr² = ৩.১৪ × ৭² = ৩.১৪ × ৪৯ = ১৫৩.৮৬ বর্গ সেমি। Option B সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,5,একটি সমান্তরাল বাহু চতুর্ভুজের ভূমি ১৫ সেমি এবং উচ্চতা ৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,50,60,70,80,  B,সমান্তরাল বাহু চতুর্ভুজের ক্ষেত্রফল = ভূমি × উচ্চতা = ১৫ × ৪ = ৬০ বর্গ সেমি। Option B সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,6,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১০ সেমি এবং ৬ সেমি, এবং উচ্চতা ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",40,45,50,55,  A,ট্রাপিজিয়ামের ক্ষেত্রফল = ১/২ × (সমান্তরাল বাহুগুলোর যোগফল) × উচ্চতা = ১/২ × (১০ + ৬) × ৫ = ১/২ × ১৬ × ৫ = ৪০ বর্গ সেমি। Option A সঠিক।,2
সমতলক্ষেত্রের ক্ষেত্রফল,7,একটি বৃত্তের ব্যাস ১৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),150.72,153.86,154,156.25,  B,ব্যাসার্ধ = ১৪/২ = ৭ সেমি। বৃত্তের ক্ষেত্রফল = πr² = ৩.১৪ × ৭² = ৩.১৪ × ৪৯ = ১৫৩.৮৬ বর্গ সেমি। Option B সঠিক।,2
সমতলক্ষেত্রের ক্ষেত্রফল,8,"একটি ত্রিভুজের তিনটি বাহুর দৈর্ঘ্য ৫ সেমি, ১২ সেমি, এবং ১৩ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",30,36,42,48,  A,এটি একটি সমকোণী ত্রিভুজ (৫² + ১২² = ১৩²)। ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা = ১/২ × ৫ × ১২ = ৩০ বর্গ সেমি। Option A সঠিক।,2
সমতলক্ষেত্রের ক্ষেত্রফল,9,একটি আয়তক্ষেত্রের ক্ষেত্রফল ৭২ বর্গ সেমি এবং দৈর্ঘ্য ১২ সেমি। প্রস্থ কত সেমি?,5,6,7,8,  B,"ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ। তাই, ৭২ = ১২ × প্রস্থ ⇒ প্রস্থ = ৭২/১২ = ৬ সেমি। Option B সঠিক।",2
সমতলক্ষেত্রের ক্ষেত্রফল,10,একটি সমান্তরাল বাহু চতুর্ভুজের ক্ষেত্রফল ৮০ বর্গ সেমি এবং ভূমি ১০ সেমি। উচ্চতা কত সেমি?,6,7,8,9,  C,"ক্ষেত্রফল = ভূমি × উচ্চতা। তাই, ৮০ = ১০ × উচ্চতা ⇒ উচ্চতা = ৮০/১০ = ৮ সেমি। Option C সঠিক।",2
সমতলক্ষেত্রের ক্ষেত্রফল,11,একটি নিয়মিত ষড়ভুজের বাহুর দৈর্ঘ্য ৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,36,41.57,48,50.24,  B,নিয়মিত ষড়ভুজের ক্ষেত্রফল = (৩√৩/২) × বাহু² = (৩ × ১.৭৩২/২) × ৪² = ২.৫৯৮ × ১৬ ≈ ৪১.৫৭ বর্গ সেমি। Option B সঠিক।,3
সমতলক্ষেত্রের ক্ষেত্রফল,12,একটি ত্রিভুজের ক্ষেত্রফল ২৪ বর্গ সেমি এবং ভূমি ৮ সেমি। উচ্চতা কত সেমি?,4,5,6,7,  C,"ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা। তাই, ২৪ = ১/২ × ৮ × উচ্চতা ⇒ উচ্চতা = (২৪ × ২) / ৮ = ৬ সেমি। Option C সঠিক।",3
সমতলক্ষেত্রের ক্ষেত্রফল,13,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১২ সেমি এবং ৮ সেমি, এবং ক্ষেত্রফল ৪০ বর্গ সেমি। উচ্চতা কত সেমি?",3,4,5,6,  B,"ক্ষেত্রফল = ১/২ × (সমান্তরাল বাহুগুলোর যোগফল) × উচ্চতা। তাই, ৪০ = ১/২ × (১২ + ৮) × উচ্চতা ⇒ ৪০ = ১০ × উচ্চতা ⇒ উচ্চতা = ৪ সেমি। Option B সঠিক।",3
সমতলক্ষেত্রের ক্ষেত্রফল,14,একটি বৃত্তের ক্ষেত্রফল ১৫৪ বর্গ সেমি। এর ব্যাসার্ধ কত সেমি? (π = ২২/৭),6,7,8,9,  B,"ক্ষেত্রফল = πr²। তাই, ১৫৪ = (২২/৭) × r² ⇒ r² = ১৫৪ × ৭ / ২২ = ৪৯ ⇒ r = ৭ সেমি। Option B সঠিক।",3
সমতলক্ষেত্রের ক্ষেত্রফল,15,"একটি সমান্তরাল বাহু চতুর্ভুজের দুটি সন্নিহিত বাহু ৫ সেমি এবং ১২ সেমি, এবং তাদের মধ্যবর্তী কোণ ৯০°। এর ক্ষেত্রফল কত বর্গ সেমি?",50,60,70,80,  B,ক্ষেত্রফল = বাহু × বাহু × sin(কোণ) = ৫ × ১২ × sin(৯০°) = ৫ × ১২ × ১ = ৬০ বর্গ সেমি। Option B সঠিক।,3
সমতলক্ষেত্রের ক্ষেত্রফল,16,"একটি আয়তক্ষেত্র এবং একটি বৃত্তের সমান ক্ষেত্রফল ১০০ বর্গ সেমি। যদি আয়তক্ষেত্রের দৈর্ঘ্য ২০ সেমি হয়, তবে প্রস্থ কত সেমি?",4,5,6,7,  B,"ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ। তাই, ১০০ = ২০ × প্রস্থ ⇒ প্রস্থ = ১০০/২০ = ৫ সেমি। Option B সঠিক।",4
সমতলক্ষেত্রের ক্ষেত্রফল,17,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (০,০), (৪,০), এবং (০,৩)। এর ক্ষেত্রফল কত বর্গ একক?",6,8,10,12,  A,"ভূমি = ৪, উচ্চতা = ৩। ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা = ১/২ × ৪ × ৩ = ৬ বর্গ একক। Option A সঠিক।",4
সমতলক্ষেত্রের ক্ষেত্রফল,18,একটি নিয়মিত পঞ্চভুজের বাহুর দৈর্ঘ্য ৬ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (প্রায় মান),61.94,64.25,66.5,68.75,  A,ক্ষেত্রফল = (১/৪) × √(৫(৫ + ২√৫)) × বাহু² ≈ ১.৭২ × ৬² ≈ ৬১.৯৪ বর্গ সেমি। Option A সঠিক।,4
সমতলক্ষেত্রের ক্ষেত্রফল,19,একটি বৃত্তের অর্ধেক অংশের ক্ষেত্রফল ৭৭ বর্গ সেমি। পূর্ণ বৃত্তের ব্যাসার্ধ কত সেমি? (π = ২২/৭),6,7,8,9,  B,"অর্ধবৃত্তের ক্ষেত্রফল = ১/২ × πr²। তাই, ৭৭ = ১/২ × (২২/৭) × r² ⇒ r² = ৭৭ × ১৪ / ২২ = ৪৯ ⇒ r = ৭ সেমি। Option B সঠিক।",4
