Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
জ্যামিতিক পরিচিতি,1,ইউক্লিডের কোন পোস্টুলেট বলে যে একটি সরলরেখা অনির্দিষ্টকাল পর্যন্ত বাড়ানো যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,B,ইউক্লিডের দ্বিতীয় পোস্টুলেট বলে যে একটি সরলরেখা অনির্দিষ্টকাল পর্যন্ত বাড়ানো যায়।,2
ত্রিভুজ,2,একটি ত্রিভুজের তিনটি কোণের সমষ্টি কত?,1 সমকোণ,2 সমকোণ,3 সমকোণ,4 সমকোণ,B,"ত্রিভুজের তিনটি কোণের সমষ্টি সবসময় 2 সমকোণ বা 180° হয়, যা থিওরেম 4 দ্বারা প্রমাণিত।",1
"রেখা, রশ্মি, রেখাংশ, কোণ এবং সমান্তরাল সরলরেখা",3,দুটি সমান্তরাল রেখা একটি ট্রান্সভার্সাল দ্বারা ছেদ করলে কোন জোড়া কোণ সমান হয়?,অন্তঃস্থ কোণ,সংনিকট কোণ,অনুরূপ কোণ,বাহ্যিক কোণ,C,"দুটি সমান্তরাল রেখা একটি ট্রান্সভার্সাল দ্বারা ছেদ করলে অনুরূপ কোণগুলো সমান হয়, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",3
জ্যামিতিক পরিচিতি,4,একটি সমতল পৃষ্ঠের মাত্রা কত?,শূন্য মাত্রা,এক মাত্রা,দুই মাত্রা,তিন মাত্রা,C,"ইউক্লিডের মতে একটি সমতল পৃষ্ঠের শুধু দৈর্ঘ্য এবং প্রস্থ আছে, তাই এর মাত্রা দুই।",1
ত্রিভুজ,5,একটি সমবাহু ত্রিভুজের প্রতিটি কোণ কত ডিগ্রি?,30°,45°,60°,90°,C,"একটি সমবাহু ত্রিভুজের তিনটি কোণ সমান এবং তিনটি কোণের সমষ্টি 180°, তাই প্রতিটি কোণ 180 ÷ 3 = 60°।",2
"রেখা, রশ্মি, রেখাংশ, কোণ এবং সমান্তরাল সরলরেখা",6,দুটি সরলরেখা ছেদ করলে কোন কোণগুলো সমান হয়?,সংনিকট কোণ,বিপরীত কোণ,অন্তঃস্থ কোণ,বাহ্যিক কোণ,B,"দুটি সরলরেখা ছেদ করলে বিপরীত কোণগুলো সমান হয়, যা থিওরেম 2 দ্বারা প্রমাণিত।",4
জ্যামিতিক পরিচিতি,7,ইউক্লিডের কোন অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,পঞ্চম অ্যাক্সিওম,D,ইউক্লিডের পঞ্চম অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়।,3
ত্রিভুজ,8,"একটি ত্রিভুজের একটি বাহু বাড়ালে যে বহিঃকোণ তৈরি হয়, তা কীসের সমান?",অভ্যন্তরীণ সংনিকট কোণ,দুটি অভ্যন্তরীণ বিপরীত কোণের সমষ্টি,তিনটি অভ্যন্তরীণ কোণের সমষ্টি,একটি সমকোণ,B,"ত্রিভুজের একটি বাহু বাড়ালে যে বহিঃকোণ তৈরি হয়, তা দুটি অভ্যন্তরীণ বিপরীত কোণের সমষ্টির সমান, যা করোলারি 2 দ্বারা প্রমাণিত।",5
"রেখা, রশ্মি, রেখাংশ, কোণ এবং সমান্তরাল সরলরেখা",9,দুটি রশ্মি একটি সমতলে মিলিত হলে কী তৈরি হয়?,একটি বিন্দু,একটি সরলরেখা,একটি কোণ,একটি সমতল,C,"দুটি রশ্মি একটি সমতলে মিলিত হলে একটি কোণ তৈরি হয়, যার শীর্ষবিন্দু হয় মিলন বিন্দু।",1
জ্যামিতিক পরিচিতি,10,ইউক্লিডের কোন পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,D,ইউক্লিডের চতুর্থ পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়।,2
ত্রিভুজ,11,একটি সমকোণী ত্রিভুজের তীক্ষ্ণ কোণগুলো কীসের পরিপূরক?,একটি সমকোণ,একটি প্রবৃদ্ধ কোণ,একটি সরলকোণ,নিজেদের মধ্যে,D,"একটি সমকোণী ত্রিভুজের তীক্ষ্ণ কোণগুলো নিজেদের মধ্যে পরিপূরক, কারণ তাদের সমষ্টি 90°, যা করোলারি 4 দ্বারা প্রমাণিত।",4
"রেখা, রশ্মি, রেখাংশ, কোণ এবং সমান্তরাল সরলরেখা",12,দুটি সরলরেখা ছেদ করলে কয়টি জোড়া বিপরীত কোণ তৈরি হয়?,1 জোড়া,2 জোড়া,3 জোড়া,4 জোড়া,B,"দুটি সরলরেখা ছেদ করলে 2 জোড়া বিপরীত কোণ তৈরি হয়, যেমন \(\angle BOD\) এবং \(\angle AOC\), এবং \(\angle BOC\) এবং \(\angle DOA\)।",3
জ্যামিতিক পরিচিতি,13,ইউক্লিডের কোন অ্যাক্সিওম বলে যে সমানের সাথে সমান যোগ করলে সমষ্টি সমান হয়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,B,ইউক্লিডের দ্বিতীয় অ্যাক্সিওম বলে যে সমানের সাথে সমান যোগ করলে সমষ্টি সমান হয়।,4
