Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
ত্রিভুজ অঙ্কন,1,"3 সেমি, 4 সেমি এবং 5 সেমি বাহু দিয়ে একটি ত্রিভুজ নির্মাণের জন্য কোন শর্ত পূরণ করতে হবে?",যেকোনো দুটি বাহুর যোগফল তৃতীয় বাহুর চেয়ে বড় হতে হবে,সব বাহু সমান হতে হবে,দুটি বাহুর পার্থক্য তৃতীয় বাহুর সমান হতে হবে,কোণগুলোর যোগফল 180 degrees হতে হবে,A,"ত্রিভুজ অসমতা অনুযায়ী, যেকোনো দুটি বাহুর যোগফল তৃতীয় বাহুর চেয়ে বড় হতে হবে। 3 সেমি, 4 সেমি, 5 সেমি-এর জন্য: 3 + 4 > 5, 3 + 5 > 4, 4 + 5 > 3, তাই ত্রিভুজ নির্মাণ সম্ভব।",4
ত্রিভুজ অঙ্কন,2,"4 সেমি, 5 সেমি বাহু এবং তাদের মধ্যবর্তী 60 degrees কোণ দিয়ে ত্রিভুজ নির্মাণের জন্য কোন সরঞ্জাম ব্যবহৃত হয়?",শুধু রুলার,শুধু কম্পাস,প্রটেক্টর এবং কম্পাস,রুলার এবং প্রটেক্টর,D,রুলার দিয়ে বাহুর দৈর্ঘ্য পরিমাপ করা হয় এবং প্রটেক্টর দিয়ে তাদের মধ্যে 60 degrees কোণ নির্মাণ করা হয়।,7
ত্রিভুজ অঙ্কন,3,45 degrees এবং 60 degrees কোণ এবং তাদের মধ্যবর্তী 6 সেমি বাহু দিয়ে একটি ত্রিভুজে তৃতীয় কোণ কত?,75 degrees,90 degrees,60 degrees,45 degrees,A,"ত্রিভুজের কোণগুলোর যোগফল 180 degrees। সুতরাং, 180 degrees - 45 degrees - 60 degrees = 75 degrees।",2
ত্রিভুজ অঙ্কন,4,কোন ডেটা সেট একটি অনন্য ত্রিভুজ নিশ্চিত করে?,তিনটি কোণ,দুটি বাহু এবং একটি বিপরীত কোণ,তিনটি বাহু,দুটি কোণ এবং একটি অ-অন্তর্ভুক্ত বাহু,C,"তিনটি বাহু (SSS) ত্রিভুজ অসমতা পূরণ করলে একটি অনন্য ত্রিভুজ নিশ্চিত করে, সমতা নীতি অনুযায়ী।",9
ত্রিভুজ অঙ্কন,5,"5 সেমি ভিত্তি, 45 degrees ভিত্তি কোণ এবং অন্য দুটি বাহুর যোগফল 8 সেমি হলে, D বিন্দু কী?",ত্রিভুজের শীর্ষবিন্দু,ভিত্তির মধ্যবিন্দু,অন্য বাহুদ্বয়ের যোগফলের শেষবিন্দু,রশ্মির ছেদবিন্দু,C,D বিন্দু হল যেখানে ভিত্তি কোণের রশ্মি থেকে অন্য দুটি বাহুর যোগফল (8 সেমি) সমান একটি অংশ কাটা হয়।,1
ত্রিভুজ অঙ্কন,6,"2 সেমি, 3 সেমি এবং 6 সেমি বাহু দিয়ে কি ত্রিভুজ নির্মাণ করা যায়?",হ্যাঁ,না,শুধু কোণ দেওয়া থাকলে,শুধু একটি কোণ 90 degrees হলে,B,"ত্রিভুজ অসমতা অনুযায়ী, 2 + 3 = 5 < 6, তাই দুটি বাহুর যোগফল তৃতীয় বাহুর চেয়ে বড় নয়। ত্রিভুজ নির্মাণ সম্ভব নয়।",5
ত্রিভুজ অঙ্কন,7,"অতিভুজ 5 সেমি এবং একটি বাহু 3 সেমি দিয়ে একটি সমকোণী ত্রিভুজ নির্মাণ করতে, অন্য বাহুর দৈর্ঘ্য কত?",4 সেমি,3 সেমি,5 সেমি,2 সেমি,A,পিথাগোরাসের উপপাদ্য ব্যবহার করে: sqrt(5^2 - 3^2) = sqrt(25 - 9) = sqrt(16) = 4 সেমি।,8
ত্রিভুজ অঙ্কন,8,ভিত্তি কোণ কেন তীক্ষ্ণ হতে হবে?,ত্রিভুজটি সমদ্বিবাহু হওয়ার জন্য,রশ্মিগুলো ছেদ করার জন্য,বাহুগুলো সমান করার জন্য,গণনা সহজ করার জন্য,B,একটি তীক্ষ্ণ কোণ নিশ্চিত করে যে নির্মাণের ধাপে রশ্মিগুলো সমতলে ছেদ করে ত্রিভুজ গঠন করবে।,3
ত্রিভুজ অঙ্কন,9,"4 সেমি ভিত্তি, 60 degrees ভিত্তি কোণ এবং অন্য দুটি বাহুর পার্থক্য 2 সেমি দিয়ে ত্রিভুজ নির্মাণের প্রথম ধাপ কী?",60 degrees কোণ আঁকুন,4 সেমি অংশ আঁকুন,কোণ দ্বিখণ্ডিত করুন,লম্ব আঁকুন,B,প্রথমে 4 সেমি ভিত্তি অংশ রুলার দিয়ে আঁকা হয়।,6
ত্রিভুজ অঙ্কন,10,কেন কোণ দ্বিখণ্ডক আঁকা হয়?,ভিত্তির মধ্যবিন্দু খুঁজতে,পরিসীমা ভাগ করতে,শীর্ষবিন্দু নির্ধারণ করতে,কোণ পরিমাপ করতে,C,"ভিত্তি কোণের দ্বিখণ্ডকগুলো শীর্ষবিন্দু A-তে ছেদ করে, যা দেওয়া পরিসীমা দিয়ে ত্রিভুজ নির্মাণে সাহায্য করে।",10
