Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
ত্রিকোণমিতিক অনুপাত,1,sinθ = লম্ব/?,অতিভুজ,ভূমি,কর্ণ,উচ্চতা,A,সাইন অনুপাতের সংজ্ঞা অনুযায়ী,1
ত্রিকোণমিতিক অনুপাত,2,cosθ = ?/অতিভুজ,লম্ব,ভূমি,কর্ণ,উচ্চতা,B,কোসাইন অনুপাতের সংজ্ঞা অনুযায়ী,1
ত্রিকোণমিতিক অনুপাত,3,tanθ = লম্ব/?,অতিভুজ,ভূমি,কর্ণ,উচ্চতা,B,ট্যানজেন্ট অনুপাতের সংজ্ঞা অনুযায়ী,1
ত্রিকোণমিতিক অনুপাত,4,cosecθ = অতিভুজ/?,লম্ব,ভূমি,কর্ণ,উচ্চতা,A,কোসেক্যান্ট অনুপাতের সংজ্ঞা অনুযায়ী,1
ত্রিকোণমিতিক অনুপাত,5,secθ = অতিভুজ/?,লম্ব,ভূমি,কর্ণ,উচ্চতা,B,সেক্যান্ট অনুপাতের সংজ্ঞা অনুযায়ী,1
ত্রিকোণমিতিক অনুপাত,6,cotθ = ভূমি/?,লম্ব,অতিভুজ,কর্ণ,উচ্চতা,A,কোট্যানজেন্ট অনুপাতের সংজ্ঞা অনুযায়ী,1
ত্রিকোণমিতিক অনুপাত,7,sin30° এর মান কত?,1/2,1,√3/2,0,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,8,cos60° এর মান কত?,1/2,√3/2,1,0,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,9,tan45° এর মান কত?,1,0,√3,1/√3,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,10,cot45° এর মান কত?,1,0,√3,1/√3,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,11,sec0° এর মান কত?,1,0,অসংজ্ঞায়িত,∞,A,মৌলিক ত্রিকোণমিতিক মান,3
ত্রিকোণমিতিক অনুপাত,12,cosec90° এর মান কত?,1,0,অসংজ্ঞায়িত,∞,A,মৌলিক ত্রিকোণমিতিক মান,3
ত্রিকোণমিতিক অনুপাত,13,sin0° এর মান কত?,0,1,1/2,√3/2,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,14,cos90° এর মান কত?,0,1,1/2,√3/2,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,15,tan0° এর মান কত?,0,1,√3,অসংজ্ঞায়িত,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,16,sin90° এর মান কত?,1,0,1/2,√3/2,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,17,cos0° এর মান কত?,1,0,1/2,√3/2,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,18,sin45° এর মান কত?,1/√2,1,√3/2,0,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,19,cos45° এর মান কত?,1/√2,1/2,1,0,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,20,tan30° এর মান কত?,1/√3,1,√3,0,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,21,cot30° এর মান কত?,√3,1,1/√3,0,A,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,22,sec45° এর মান কত?,√2,1,2,1/√2,A,মৌলিক ত্রিকোণমিতিক মান,3
ত্রিকোণমিতিক অনুপাত,23,cosec30° এর মান কত?,2,1,1/2,√3/2,A,মৌলিক ত্রিকোণমিতিক মান,3
ত্রিকোণমিতিক অনুপাত,24,sin60° এর মান কত?,0,1/2,1,√3/2,D,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,25,cos30° এর মান কত?,0,1/2,1,√3/2,D,মৌলিক ত্রিকোণমিতিক মান,2
ত্রিকোণমিতিক অনুপাত,26,1 radian = ?,180°,60°,90°,57.29°,D,রেডিয়ান থেকে ডিগ্রী রূপান্তর,3
ত্রিকোণমিতিক অনুপাত,27,π রেডিয়ান = ? ডিগ্রী,360,90,60,180,D,রেডিয়ান থেকে ডিগ্রী রূপান্তর,3
ত্রিকোণমিতিক অনুপাত,28,sin²θ + cos²θ = ?,secθ,0,tanθ,1,D,মৌলিক ত্রিকোণমিতিক অভেদ,2
